"id"	"status"	"address"	"attributesDefinitionId"	"surveyLevel"	"surveyedAt"	"createdAt"	"updatedAt"	"yearBuilt"	"smithsonianNumber"	"city"	"township"	"range"	"section"	"legalDescription"	"additionName"	"block"	"lot"	"platYear"	"utmEasting"	"utmNorthing"	"streetNumber"	"streetName"	"streetDirection"	"surveyor"	"additionalNeeded"	"quarterSection"	"quarterQuarterSection"	"regionName"	"General Architectural Notes"	"Historical Notes"	"Historic Name"	"Year Built"	"Year Built Source"	"Architect"	"Architect Source"	"Builder"	"Builder Source"	"Original Owner"	"Original Owner Source"	"Historical Background"	"Sources of Information"	"Period of Significance"	"Statement of Significance"	"Assessment of Integrity"	"NR District Potential"	"Building Plan"	"Roof Features"	"Additional Cladding"	"Local Evaluation - Individual"	"Local Criteria"	"Local Evaluation - District"	"NR Evaluation - Individual"	"NR Evaluation - District"	"NR Areas of Significance"	"NR Criteria"	"Original Use"	"Current Use"	"Stories"	"Building Category"	"Building Form"	"Architectural Style"	"Setting"	"Landscape Features"	"Roof Materials"	"Primary Cladding"	"Alteration Level"	"Alterations-Additions"	"Alterations-Entrances"	"Alterations-Roof"	"Alterations-Cladding"	"Roof Type"	"Wall Features"	"Alterations-Windows"	"Alteration-Other"	"Integrity Rating"	"Associated Building and Objects"	"Window"	"Entrance"	"Chimney"
”DIS.13146"	"APPROVED"	"2619 N ELIZABETH ST"	"41"	"Basic Survey"	"1682444604"	"1682106089"	"1682701889"	"1926"	"5DV.14985"	"Denver"	"3S"	"68W"	"25"	"L 16 & N 4.87 FT OF L 15 & S 13.06 FT OF L 17 EXC REAR 8 FT TO CITY BLK 19 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"503729"	"4400555"	"2619"	"ELIZABETH"	"N"	"Judy Trompeter"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Driveway - Solid; Fence - Rear"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Hip-on-Gable"	"Brick - Patterned; Gable Vents; Half-Timbering"	"Windows Replaced - Some"	"Basement level windows likely replaced."	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Tripartite Window - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill  |  Window 4: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 5: Window Type: Hopper/Awning; Window Features: Divided Lights - All - Rowlock Sill  |  Window 6: Window Type: Sliding; Window Features: Stone Sill "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade "	
”DIS.12662"	"APPROVED"	"2710 N YORK ST"	"41"	"Basic Survey"	"1681833590"	"1681761903"	"1687817074"	"1910"	"5DV.15152"	"Denver"	"3S"	"68W"	"25"	"L 13 & S1/2 OF L 12 & N1/2 OF L 14 EXC REAR 8 FT TO CITY BLK 16 ASHLEYS ADD & L 13 & S1/2 OF 12 & N1/2 OF 14 BLK 21 CLAYTONS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"503475.5449"	"4400676.69"	"2710"	"YORK"	"N"	"Brooke Keith"	"false"	"null"	"null"	"Skyland"	"Two front gable dormers on front facade."																											"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1-1/2"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Denver Roll; Fence - Left Side; Walkway - Concrete; Fence - Right Side"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Side Gable"	"Brick - Patterned; Half-Timbering; Awnings"	"None Visible"		"5 - Not Altered"		" Window 1: Window Type: Fixed; Window Features: Divided Lights - Some - Tripartite Window - Stone Sill  |  Window 2: Window Type: Fixed; Window Features: Dormer Window - Divided Lights - All  |  Window 3: Window Type: Fixed; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade "	
”DIS.12757"	"APPROVED"	"3825 E 28TH AVE"	"41"	"Basic Survey"	"1686413369"	"1682106004"	"1686672135"	"1930"	"5DV.16132"	"Denver"	"3S"	"68W"	"25"	"E 1/2 OF L 21 TO 24 INC BLK 1 BUELLS ADD"	"Buells Addition"	""	""	"1889"	"504923"	"4400757"	"3825"	"28TH"	"E"	"Andrew Rogge"	"false"	"null"	"null"	"Skyland"		"Per resident, her parents purchased this house in the late 1950s. It was previously a ""Jewish honeymoon cottage."""																										"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Front; Walkway - Concrete"	"Shingles - Asphalt"	"Stucco - Historic"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Compound Roof; Cross Gable; Hipped"	"Foundation - Not Visible"	"None Visible"		"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Paired Windows - Divided Lights - All  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - All "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Left Side "	
”DIS.12657"	"APPROVED"	"2650 N YORK ST"	"41"	"Basic Survey"	"1681832396"	"1681761674"	"1687817623"	"1912"	"5DV.15087"	"Denver"	"3S"	"68W"	"25"	"L 3 & S 13 FT OF L 2 BLK 30 CLAYTONS ADD & L 3 & S 13 FT OF L 2 EXC REAR 8 FT TO CITY BLK 17 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"503476.7676"	"4400616.585"	"2650"	"YORK"	"N"	"Brooke Keith"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1-1/2"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Fence - Front; Fence - Left Side; Fence - Ornamental; Fence - Right Side; Walkway - Concrete"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Front Gable"	"Brick - Patterned; Gable Vents; Quoins"	"None Visible"		"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building "	" Window 1: Window Type: Fixed; Window Features: None  |  Window 2: Window Type: Double/Single Hung; Window Features: Paired Windows  |  Window 3: Window Type: Double/Single Hung; Window Features: None "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Unknown - Not Visible; Entrance Location: Right Side "	
”DIS.13154"	"APPROVED"	"2658 N ELIZABETH ST"	"41"	"Full Survey"	"1682442404"	"1682106089"	"1684530377"	"1929"	"5DV.15102"	"Denver"	"3S"	"68W"	"25"	"L 1 & N 14.93 FT OF L 2 EXC REAR 8 FT TO CITY BLK 20 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"503788"	"4400628"	"2658"	"ELIZABETH"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Skyland"																		"Irregular Plan"	"Eaves - Open; Rafter Tails; Purlins"	"Stucco - Historic"								"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1-1/2"	"Residential"	"Bungalow"	"Craftsman"	"Corner; Set Back from Sidewalk"	"Denver Roll; Walkway - Concrete; Fence - Rear"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Hip-on-Gable"	"Brick - Patterned"	"Windows Replaced - Some"	"Basement windows appear replaced"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached; Building/Object Location: Behind Primary Building "	" Window 1: Window Type: Double/Single Hung; Window Location: Front Facade - Right Side - Rear; Window Features: Divided Lights - Some - Rowlock Sill - Paired Windows; Window Material: Wood  |  Window 2: Window Type: Fixed - Sliding; Window Location: Front Facade; Window Features: Decorative Surround - Rowlock Sill; Window Material: Vinyl  |  Window 3: Window Type: Fixed; Window Location: Front Facade; Window Features: Divided Lights - Some; Window Material: Wood  |  Window 4: Window Type: Double/Single Hung; Window Location: Left Side - Right Side - Rear; Window Features: Decorative Surround - Rowlock Sill; Window Material: Wood  |  Window 5: Window Type: Sliding; Window Location: Basement - Left Side - Right Side; Window Features: None; Window Material: Vinyl  |  Window 6: Window Type: Casement; Window Location: Left Side; Window Features: Rowlock Sill; Window Material: Wood  |  Window 7: Window Type: Double/Single Hung; Window Location: Left Side; Window Features: Divided Lights - Some - Grouped Windows - Rowlock Sill - Decorative Surround; Window Material: Wood "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Left Side; Entrance Features: Roof:  Hipped; Door Type: Single  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Rear; Door Type: Single "	" Chimney 1: Chimney Placement: Interior - Central; Chimney Material: Brick  |  Chimney 2: Chimney Placement: Exterior - Left Side; Chimney Material: Brick; Chimney Features: Decorative "
”DIS.13162"	"APPROVED"	"2714 N ELIZABETH ST"	"41"	"Basic Survey"	"1682634768"	"1682106089"	"1684530325"	"1933"	"5DV.5070"	"Denver"	"3S"	"68W"	"25"	"L 11 & THE N 17 FT OF L 12 BLK 13 ASHLEYS ADD EXC THE REAR OR ELY 8 FT THEREOF"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"503790"	"4400690"	"2714"	"ELIZABETH"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Denver Roll; Fence - Left Side; Fence - Rear; Walkway - Concrete"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Cross Gable"	"Brick - Polychromatic; Brick - Corbeled; Brick - Patterned; Gable Vents; Half-Timbering"	"Windows Replaced - Some"	"Basement windows likely replaced."	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill - Decorative Surround  |  Window 2: Window Type: Double/Single Hung; Window Features: Decorative Surround - Rowlock Sill  |  Window 3: Window Type: Sliding; Window Features: None  |  Window 4: Window Type: Double/Single Hung; Window Features: Decorative Surround - Grouped Windows - Rowlock Sill "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade "	
”DIS.12609"	"APPROVED"	"2731 N JOSEPHINE ST"	"41"	"Full Survey"	"1681840494"	"1681759044"	"1684530413"	"1924"	"5DV.15211"	"Denver"	"3S"	"68W"	"25"	"L 23 & S1/2 OF L 24 EXC REAR 8 FT TO CITY BLK 16 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"503517.4997"	"4400716.563"	"2731"	"JOSEPHINE"	"N"	"Beth Glandon"	"false"	"null"	"null"	"Skyland"																		"Rectangular Plan"	"Eaves - Open"									"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Walkway - Concrete; Denver Roll"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Cross Gable"	"Half-Timbering; Brick - Patterned"	"None Visible"		"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Location: Front Facade - Right Side; Window Features: Divided Lights - Some; Window Material: Wood  |  Window 2: Window Type: Fixed; Window Location: Left Side - Right Side; Window Features: Rowlock Sill; Window Material: Wood  |  Window 3: Window Type: Sliding; Window Location: Left Side - Basement; Window Features: Divided Lights - All; Window Material: Wood  |  Window 4: Window Type: Double/Single Hung; Window Location: Right Side; Window Features: Paired Windows; Window Material: Wood  |  Window 5: Window Type: Double/Single Hung; Window Location: Left Side; Window Features: Divided Lights - Some - Grouped Windows; Window Material: Wood "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade; Entrance Features: Half-Timbering - Roof:  Front Gable; Door Type: Single "	" Chimney 1: Chimney Placement: Exterior - Left Side; Chimney Material: Brick "
”DIS.12665"	"APPROVED"	"2716 N YORK ST"	"41"	"Basic Survey"	"1681833815"	"1681762033"	"1682456953"	"1910"	"5DV.15164"	"Denver"	"3S"	"68W"	"25"	"L 11 & N 1/2 L 12 BLK 21 CLAYTONS ADD & L 11 & N 1/2 L 12 EXC REAR 8FT THEREOF BLK 16 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"503475.6051"	"4400689.897"	"2716"	"YORK"	"N"	"Nate Jamison"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1-1/2"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Denver Roll; Walkway - Concrete"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"Brick/Stone Painted"	"Compound Roof; Hipped; Front Gable"	"Shingles in Gable - Decorative; Brick - Polychromatic"	"None Visible"		"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Stone Sill - Divided Lights - Some  |  Window 2: Window Type: Unknown Window Type; Window Features: Divided Lights - All  |  Window 3: Window Type: Hopper/Awning; Window Features: Divided Lights - All - Stone Sill "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade "	
”DIS.13160"	"APPROVED"	"2710 N ELIZABETH ST"	"41"	"Basic Survey"	"1682440612"	"1682106089"	"1684530296"	"1930"	"5DV.15146"	"Denver"	"3S"	"68W"	"25"	"L 13 & N 8 FT OF L 14 & S 8 FT OF L 12 EXC REAR 8 FT TO CITY BLK 13 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"503790"	"4400678"	"2710"	"ELIZABETH"	"N"	"Todd Matuszewicz"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Denver Roll; Walkway - Concrete; Fence - Rear"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Cross Gable"	"Brick - Polychromatic; Half-Timbering; Brick - Patterned"	"None Visible"		"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill - Decorative Surround  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill - Decorative Surround  |  Window 3: Window Type: Fixed; Window Features: Rowlock Sill - Decorative Surround  |  Window 4: Window Type: Unknown Window Type; Window Features: None "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade "	
”DIS.13260"	"APPROVED"	"2844 N FILLMORE ST"	"41"	"Basic Survey"	"1682785248"	"1682106207"	"1684530094"	"1926"	"5DV.15428"	"Denver"	"3S"	"68W"	"25"	"L 4 & N1/2 OF L 5 EXC REAR 8 FT TO CITY BLK 6 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"504001"	"4400883"	"2844"	"FILLMORE"	"N"	"Cindy Wolf"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Denver Roll; Fence - Rear; Fence - Right Side; Walkway - Concrete"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Front Gable"	"Brick - Polychromatic; Brick - Corbeled; Brick - Patterned; Foundation - Not Visible; Half-Timbering"	"None Visible"		"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Grouped Windows - Divided Lights - Some  |  Window 3: Window Type: Fixed; Window Features: Rowlock Sill  |  Window 4: Window Type: Unknown Window Type; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade "	
”DIS.13559"	"APPROVED"	"2849 N MILWAUKEE ST"	"41"	"Basic Survey"	"1682785823"	"1682107151"	"1684530116"	"1924"	"5DV.15442"	"Denver"	"3S"	"68W"	"25"	"L 28 & N 5 1/2 FT OF L 27 & S 7 FT OF L 29 EXC REAR 8 FT TO CITY BLK 6 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"504044"	"4400893"	"2849"	"MILWAUKEE"	"N"	"Todd Matuszewicz"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Side Gable"	"Brick - Polychromatic; Brick - Patterned"	"Windows Replaced - Some"	"Basement windows likely replaced."	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Unknown - Not Visible "	" Window 1: Window Type: Sliding; Window Features: None  |  Window 2: Window Type: Double/Single Hung; Window Features: Decorative Surround - Divided Lights - Some - Rowlock Sill - Grouped Windows  |  Window 3: Window Type: Fixed; Window Features: Rowlock Sill - Decorative Surround  |  Window 4: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Decorative Surround  |  Window 5: Window Type: Sliding; Window Features: Decorative Surround - Paired Windows - Rowlock Sill "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade "	
