"id"	"status"	"address"	"attributesDefinitionId"	"surveyLevel"	"surveyedAt"	"createdAt"	"updatedAt"	"yearBuilt"	"smithsonianNumber"	"city"	"township"	"range"	"section"	"legalDescription"	"additionName"	"block"	"lot"	"platYear"	"utmEasting"	"utmNorthing"	"streetNumber"	"streetName"	"streetDirection"	"surveyor"	"additionalNeeded"	"quarterSection"	"quarterQuarterSection"	"regionName"	"General Architectural Notes"	"Historical Notes"	"Historic Name"	"Year Built"	"Year Built Source"	"Architect"	"Architect Source"	"Builder"	"Builder Source"	"Original Owner"	"Original Owner Source"	"Historical Background"	"Sources of Information"	"Period of Significance"	"Statement of Significance"	"Assessment of Integrity"	"NR District Potential"	"Building Plan"	"Roof Features"	"Additional Cladding"	"Alteration-Other"	"Local Evaluation - Individual"	"Local Criteria"	"Local Evaluation - District"	"NR Evaluation - Individual"	"NR Evaluation - District"	"NR Areas of Significance"	"NR Criteria"	"Original Use"	"Current Use"	"Stories"	"Building Category"	"Building Form"	"Architectural Style"	"Setting"	"Landscape Features"	"Roof Type"	"Roof Materials"	"Primary Cladding"	"Wall Features"	"Alterations-Additions"	"Alterations-Entrances"	"Alterations-Roof"	"Alterations-Cladding"	"Alterations-Windows"	"Alteration Level"	"Integrity Rating"	"Associated Building and Objects"	"Window"	"Entrance"
”DIS.7060"	"REPORTED"	"4125 N CLAY ST"	"6"	"Basic Survey"	"1629818626"	"1629479094"	"1744659233"	"1927"	"5DV.48322"	"Denver"	"3S"	"68W"	"20"	"L 25 & 26 & E 1/2 VAC ALLEY ADJ BLK 16 BOULEVARD HTS 2ND FLG"	"Boulevard Heights 2nd Filing being a Resubdivision of Blocks 9, 16, 17, and 18 of Perrin's Subdivision"	""	""	"1889"	"498222.98526300000"	"4402609.76163000000"	"4125"	"CLAY"	"N"	"Judy Gordon"	"false"	"null"	"null"	"Sunnyside"																					"Original garage converted to ADU "								"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Belt Course; Brick - Polychromatic; Brick - Corbeled; Foundation - Not Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Accessory Dwelling Unit (ADU) "	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 3: Window Type: Fixed; Window Features: Divided Lights - All - Rowlock Sill  |  Window 4: Window Type: Hopper/Awning; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Left Side "
”DIS.5073"	"REPORTED"	"4537 N BEACH CT"	"6"	"Basic Survey"	"1621958467"	"1621282064"	"1744653444"	"1924"	"5DV.45993"	"Denver"	"3S"	"68W"	"20"	"ZIEHL & MCLAINS ADDITION B7 L28 & N/2 OF L27"	"Ziehl And McLain's Addition to the City of Denver"	""	""	"1901"	"498419.63920700000"	"4403198.85406000000"	"4537"	"BEACH"	"N"	"Marcia Heit"	"false"	"null"	"null"	"Sunnyside"	"Stained glass windows on porch"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Fence - Rear; Stone Public Sidewalk; Walkway - Concrete; Walkway - Stone; Wall - Retaining"	"Front Gable"	"Shingles - Asphalt"	"Brick"	"Belt Course; Brick - Patterned; Foundation - Not Visible; Gable Vents; Shingles in Gable - Plain; Brick - Polychromatic"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Fixed - Casement; Window Features: Decorative Surround - Rowlock Sill - Tripartite Window - Divided Lights - Some  |  Window 2: Window Type: Casement; Window Features: Decorative Surround - Paired Windows - Rowlock Sill - Divided Lights - Some  |  Window 3: Window Type: Fixed; Window Features: Decorative Surround - Rowlock Sill - Divided Lights - Some  |  Window 4: Window Type: Hopper/Awning; Window Features: Divided Lights - All "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Unknown - Not Visible; Entrance Location: Left Side "
”DIS.6731"	"REPORTED"	"3826 N BRYANT ST"	"6"	"Basic Survey"	"1628786510"	"1628024908"	"1744654952"	"1928"	"5DV.48007"	"Denver"	"3S"	"68W"	"20"	"L 10 & 11 & VAC STRIP IN REAR BLK 26 PERRINS SUB RES OF W1/2 OF BLK"	"RE-SUBDIVISION OF THE W 1/2 BLOCK 26 PERRIN'S SUBDIVISION"	""	""	"1888"	"498398.22493100000"	"4402215.01429000000"	"3826"	"BRYANT"	"N"	"Charlotte Willard"	"false"	"null"	"null"	"Sunnyside"																					"1 slider window"								"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Built-In Planters; Driveway - Solid; Fence - Rear; Walkway - Concrete; Wall - Retaining"	"Hip-on-Gable"	"Shingles - Asphalt"	"Brick"	"Belt Course; Brick - Polychromatic; Brick - Patterned; Foundation - Not Visible; Half-Timbering"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached; Building/Object Notes: Historic "	" Window 1: Window Type: Fixed; Window Features: Divided Lights - All - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill - Tripartite Window  |  Window 4: Window Type: Sliding; Window Features: Rowlock Sill  |  Window 5: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 6: Window Features: Stained/Leaded Glass - Rowlock Sill; Window Type: Fixed  |  Window 7: Window Type: Fixed; Window Features: Divided Lights - All "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Rear "
”DIS.5168"	"REPORTED"	"4598 N CLAY ST"	"6"	"Basic Survey"	"1621537123"	"1621282064"	"1744658780"	"1925"	"5DV.46088"	"Denver"	"3S"	"68W"	"20"	"ZIEHL & MCLAINS ADDITION B1 L1 & 2"	"Ziehl And McLain's Addition to the City of Denver"	""	""	"1901"	"498266.48998500000"	"4403345.50435000000"	"4598"	"CLAY"	"N"	"Jake Wilkes"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk; Corner"	"Denver Roll; Fence - Rear; Walkway - Concrete"	"Hip-on-Gable"	"Shingles - Asphalt"	"Brick"	"Belt Course; Brick - Polychromatic; Brick - Patterned; Gable Vents; Half-Timbering"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached; Building/Object Notes: Historic "	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill - Tripartite Window - Decorative Surround  |  Window 2: Window Type: Double/Single Hung; Window Features: Decorative Surround - Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Decorative Surround - Divided Lights - Some - Rowlock Sill  |  Window 4: Window Type: Fixed; Window Features: Divided Lights - All - Rowlock Sill - Decorative Surround  |  Window 5: Window Type: Hopper/Awning; Window Features: Divided Lights - All - Rowlock Sill  |  Window 6: Window Type: Unknown Window Type; Window Features: Divided Lights - All - Rowlock Sill "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Right Side "
”DIS.5166"	"REPORTED"	"4594 N BEACH CT"	"6"	"Basic Survey"	"1621957742"	"1621282064"	"1744653532"	"1911"	"5DV.46086"	"Denver"	"3S"	"68W"	"20"	"ZIEHL & MCLAINS ADDITION B3 L3 & N/2 OF L4"	"Ziehl And McLain's Addition to the City of Denver"	""	""	"1901"	"498463.97664900000"	"4403331.70658000000"	"4594"	"BEACH"	"N"	"Judy Gordon"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1-1/2"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Driveway - Solid; Walkway - Concrete; Fence - Rear"	"Cross Gable"	"Shingles - Asphalt"	"Brick"	"Brick - Polychromatic; Foundation - Brick; Half-Timbering; Brick - Corbeled"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Paired Windows - Stone Sill - Divided Lights - All  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Stone Sill  |  Window 3: Window Type: Casement; Window Features: Paired Windows - Stone Sill  |  Window 4: Window Type: Double/Single Hung; Window Features: Paired Windows - Stone Sill  |  Window 5: Window Type: Double/Single Hung; Window Features: Paired Windows "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade "
”DIS.5109"	"REPORTED"	"4586 N BEACH CT"	"6"	"Basic Survey"	"1621960651"	"1621282064"	"1744653610"	"1911"	"5DV.46029"	"Denver"	"3S"	"68W"	"20"	"ZIEHL & MCLAINS ADDITION B3 L7 & S/2 OF L6"	"Ziehl And McLain's Addition to the City of Denver"	""	""	"1901"	"498464.00008100000"	"4403305.01169000000"	"4586"	"BEACH"	"N"	"Marcia Heit"	"false"	"null"	"null"	"Sunnyside"	"Gray/green glazed brick foundation"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete"	"Front Gable"	"Shingles - Asphalt"	"Brick"	"Brick - Polychromatic; Foundation - Brick; Shingles in Gable - Plain; Half-Timbering"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Double/Single Hung; Window Features: Stone Sill - Divided Lights - Some  |  Window 2: Window Type: Double/Single Hung; Window Features: Paired Windows - Stone Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Stone Sill  |  Window 4: Window Type: Fixed; Window Features: Divided Lights - All - Stone Sill "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade "
”DIS.5082"	"REPORTED"	"4578 N ALCOTT ST"	"6"	"Basic Survey"	"1621963653"	"1621282064"	"1744650229"	"1912"	"5DV.46002"	"Denver"	"3S"	"68W"	"20"	"ZIEHL & MCLAINS ADDITION B4 L9 & S/2 OF L8"	"Ziehl And McLain's Addition to the City of Denver"	""	""	"1901"	"498562.06510400000"	"4403288.34059000000"	"4578"	"ALCOTT"	"N"	"Judy Gordon"	"false"	"null"	"null"	"Sunnyside"	"Grey green glazed foundation brick"																				"Garage is not original and it is in Pueblo Revival style"								"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1-1/2"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete; Denver Roll"	"Front Gable"	"Shingles - Asphalt"	"Brick"	"Brick - Polychromatic; Foundation - Brick; Shingles in Gable - Plain"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Casement; Window Features: Paired Windows - Stone Sill - Divided Lights - All  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Stone Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Paired Windows - Stone Sill  |  Window 4: Window Type: Fixed; Window Features: Divided Lights - All  |  Window 5: Window Type: Hopper/Awning; Window Features: None  |  Window 6: Window Type: Fixed; Window Features: Divided Lights - All - Stone Sill "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade "
”DIS.5069"	"REPORTED"	"4574 N ALCOTT ST"	"6"	"Basic Survey"	"1621963427"	"1621282064"	"1744650190"	"1925"	"5DV.45989"	"Denver"	"3S"	"68W"	"20"	"ZIEHL & MCLAINS ADDITION B4 L10 & 11"	"Ziehl And McLain's Addition to the City of Denver"	""	""	"1901"	"498563.47736800000"	"4403276.19905000000"	"4574"	"ALCOTT"	"N"	"Charlotte Willard"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Denver Roll; Driveway - Ribbon; Fence - Rear; Walkway - Concrete"	"Cross Hip-on-Gable"	"Shingles - Asphalt"	"Brick"	"Belt Course; Brick - Polychromatic; Brick - Patterned; Gable Vents; Half-Timbering; Masonry Bay; Foundation - Not Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Fixed; Window Features: Divided Lights - All - Stone Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Stone Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Stone Sill - Tripartite Window  |  Window 4: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Stone Sill  |  Window 5: Window Type: Unknown Window Type; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade "
”DIS.4961"	"REPORTED"	"4500 N DECATUR ST"	"6"	"Basic Survey"	"1621533085"	"1621282064"	"1744660282"	"1927"	"5DV.45881"	"Denver"	"3S"	"68W"	"20"	"CARLSON HILL ADDITION B1 L23 & 24"	"Carlson Hill Addition"	""	""	"1924"	"498165.94537700000"	"4403180.56446000000"	"4500"	"DECATUR"	"N"	"Jake Wilkes"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk; Corner"	"Fence - Rear; Walkway - Stone; Wall - Retaining; Built-In Planters"	"Side Gable"	"Shingles - Asphalt"	"Brick"	"Belt Course; Brick - Polychromatic; Brick - Patterned; Foundation - Not Visible; Gable Vents; Half-Timbering"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 3: Window Type: Fixed; Window Features: Divided Lights - All - Rowlock Sill  |  Window 4: Window Type: Hopper/Awning; Window Features: None "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Rear "
”DIS.6749"	"REPORTED"	"4045 N BRYANT ST"	"6"	"Basic Survey"	"1629216939"	"1628024908"	"1744655866"	"1926"	"5DV.48025"	"Denver"	"3S"	"68W"	"20"	"PERRINS SUB BLK 19 N 37.5FT S 112FT OF E 125FT OF L1"	"PERRIN'S SUB"	""	""	"1889"	"498351.09122100000"	"4402518.38067000000"	"4045"	"BRYANT"	"N"	"Suzy LaViolette"	"false"	"null"	"null"	"Sunnyside"	"Pebble dash stucco walls"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Bungalow"	"Craftsman"	"Set Back from Sidewalk"	"Denver Roll; Fence - Front; Walkway - Concrete; Fence - Rear"	"Side Gable"	"Shingles - Asphalt"	"Stucco - Historic"	"Foundation - Not Visible; Shingles in Gable - Plain"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: None  |  Window 2: Window Type: Double/Single Hung; Window Features: Paired Windows  |  Window 3: Window Type: Fixed; Window Features: Dormer Window - Paired Windows "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade "
