"id"	"status"	"address"	"attributesDefinitionId"	"surveyLevel"	"surveyedAt"	"createdAt"	"updatedAt"	"yearBuilt"	"smithsonianNumber"	"city"	"township"	"range"	"section"	"legalDescription"	"additionName"	"block"	"lot"	"platYear"	"utmEasting"	"utmNorthing"	"streetNumber"	"streetName"	"streetDirection"	"surveyor"	"additionalNeeded"	"quarterSection"	"quarterQuarterSection"	"regionName"	"General Architectural Notes"	"Historical Notes"	"Alteration-Other"	"Historic Name"	"Year Built"	"Year Built Source"	"Architect"	"Architect Source"	"Builder"	"Builder Source"	"Original Owner"	"Original Owner Source"	"Historical Background"	"Sources of Information"	"Period of Significance"	"Statement of Significance"	"Assessment of Integrity"	"NR District Potential"	"Building Plan"	"Roof Features"	"Additional Cladding"	"Local Evaluation - Individual"	"Local Criteria"	"Local Evaluation - District"	"NR Evaluation - Individual"	"NR Evaluation - District"	"NR Areas of Significance"	"NR Criteria"	"Original Use"	"Current Use"	"Stories"	"Building Category"	"Architectural Style"	"Landscape Features"	"Roof Materials"	"Primary Cladding"	"Alterations-Additions"	"Alterations-Entrances"	"Alterations-Roof"	"Alterations-Cladding"	"Building Form"	"Setting"	"Roof Type"	"Wall Features"	"Integrity Rating"	"Alteration Level"	"Alterations-Windows"	"Window"	"Entrance"	"Associated Building and Objects"
”DIS.15211"	"APPROVED"	"3655 N SAINT PAUL ST"	"41"	"Basic Survey"	"1694539954"	"1694452867"	"1694549409"	"1949"	"DDS.1107"	"Denver"	"3S"	"68W"	"25"	"L 29 & 30 & L 28 EXC S 21FT THEREOF BLK 7 CHARLOTTE MCKEES ADD"	"CHARLOTTE McKEE'S ADDITION TO DENVER"	""	""	"1886"	"551346.3276"	"4814081.888"	"3655"	"SAINT PAUL"	"N"	"Pat Bernard"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Fence - Front; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete"	"Shingles - Asphalt"	"Concrete - Block"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Corner; Set Back from Sidewalk"	"Cross Gable"	"Awnings; Foundation - Concrete"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Double/Single Hung; Window Features: Rowlock Sill "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Porch - Partial Width - Projecting  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Rear "	
”DIS.14729"	"APPROVED"	"3608 N MADISON ST"	"41"	"Basic Survey"	"1693330383"	"1693248915"	"1694726032"	"1950"	"DDS.850"	"Denver"	"3S"	"68W"	"25"	"L 1 & N 22.13 FT OF L 2 BLK 21 J COOK JRS NORTH DIVISION OF CAPITOL HILL"	"J CooK Jr.'s, NORTH DIVISION OF CAPITOL HILL"	""	""	"1888"	"551871.9153"	"4814007.886"	"3608"	"MADISON"	"N"	"Kristy Ornelas"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Walkway - Concrete"	"Shingles - Asphalt"	"Concrete - Block"	"Access Ramp Added"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Hipped"	"Shutters"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Grouped Windows  |  Window 2: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Stoop - Low  |  Entrance 2: Entrance Type: Unknown - Not Visible; Entrance Location: Left Side "	
”DIS.14636"	"APPROVED"	"3911 N COLORADO BLVD"	"41"	"Basic Survey"	"1692889844"	"1692733758"	"1692980987"	"1951"	"5DV.11376"	"Denver"	"3S"	"68W"	"24"	"L 10 BLK 2 SUNSET HEIGHTS"	"SUNSET HEIGHTS"	""	""	"1946"	"552300.6909"	"4814477.802"	"3911"	"COLORADO"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Fence - Front; Fence - Left Side; Fence - Right Side; Walkway - Concrete"	"Shingles - Asphalt"	"Concrete - Block"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Cross Gable"	"Foundation - Concrete"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill - Transom - Divided Lights - Some  |  Window 2: Window Type: Casement - Fixed; Window Features: Transom - Tripartite Window - Rowlock Sill  |  Window 3: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Grouped Windows "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade "	
”DIS.15141"	"APPROVED"	"3521 N MILWAUKEE ST"	"41"	"Basic Survey"	"1694879578"	"1694452867"	"1695079565"	"1942"	"DDS.937"	"Denver"	"3S"	"68W"	"25"	"L 20 & 21 BLK 11 CHARLOTTE MCKEES ADD"	"CHARLOTTE McKEE'S ADDITION TO DENVER"	""	""	"1886"	"551231.3522"	"4813863.09"	"3521"	"MILWAUKEE"	"N"	"Rebecca Berner"	"false"	"null"	"null"	"Clayton"	"Window 1 is glass block. Window 3 is octagonal."																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Driveway - Solid; Fence - Rear"	"Shingles - Asphalt"	"Brick"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Hipped"	"Brick - Polychromatic"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Fixed; Window Features: Grouped Windows  |  Window 2: Window Type: Casement - Fixed; Window Features: Grouped Windows - Paired Windows - Rowlock Sill - Transom  |  Window 3: Window Type: Fixed; Window Features: Divided Lights - All  |  Window 4: Window Type: Hopper/Awning; Window Features: None  |  Window 5: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill "	" Entrance 1: Entrance Type: Stoop - High; Entrance Location: Left Side "	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building  |  Associated Building and Objects 2: Building/Object Type: Garage – Attached "
”DIS.14629"	"APPROVED"	"3855 N COLORADO BLVD"	"41"	"Basic Survey"	"1692888322"	"1692733758"	"1692981903"	"1951"	"DDS.276"	"Denver"	"3S"	"68W"	"24"	"N 21.5FT L 17 & S 29.65FT L 16 BLK 2 SUNSET HEIGHTS"	"SUNSET HEIGHTS"	""	""	"1946"	"552300.2232"	"4814355.324"	"3855"	"COLORADO"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Walkway - Concrete; Driveway - Unpaved"	"Shingles - Asphalt"	"Concrete - Block"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Hipped"	"None"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Paired Windows  |  Window 2: Window Type: Fixed - Casement; Window Features: Rowlock Sill - Tripartite Window - Transom  |  Window 3: Window Type: Fixed - Casement; Window Features: Grouped Windows - Rowlock Sill "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade "	
”DIS.15178"	"APPROVED"	"3750 N MILWAUKEE ST"	"41"	"Basic Survey"	"1694711676"	"1694452867"	"1694808115"	"1953"	"DDS.971"	"Denver"	"3S"	"68W"	"25"	"LTS 3 & 4 BLK 2 CHARLOTTE MCKEES ADD"	"CHARLOTTE McKEE'S ADDITION TO DENVER"	""	""	"1886"	"551298.1584"	"4814210.101"	"3750"	"MILWAUKEE"	"N"	"Patrick Salazar"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Walkway - Concrete; Fence - Rear"	"Shingles - Asphalt"	"Concrete - Block"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Hipped"	"Foundation - Concrete; Shutters"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Tripartite Window - Transom  |  Window 2: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Grouped Windows "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "
”DIS.14778"	"APPROVED"	"3885 N MADISON ST"	"41"	"Basic Survey"	"1693493783"	"1693248915"	"1693585221"	"1952"	"DDS.896"	"Denver"	"3S"	"68W"	"24"	"L 47 & 48 BLK 2 IVANHOE"	"IVANHOE"	""	""	"1890"	"551796.7533"	"4814423.845"	"3885"	"MADISON"	"N"	"Cindy Wolf"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Fence - Front; Fence - Rear; Fence - Right Side; Walkway - Concrete"	"Shingles - Asphalt"	"Brick"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Hipped"	"Foundation - Concrete; Brick - Polychromatic"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Fixed - Casement; Window Features: Rowlock Sill - Transom - Tripartite Window - Divided Lights - Some  |  Window 2: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill - Transom - Divided Lights - Some  |  Window 3: Window Type: Casement - Fixed; Window Features: Divided Lights - Some - Grouped Windows - Rowlock Sill - Transom  |  Window 4: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building "
”DIS.14777"	"APPROVED"	"3880 N MADISON ST"	"41"	"Basic Survey"	"1693494180"	"1693248915"	"1693591548"	"1952"	"DDS.895"	"Denver"	"3S"	"68W"	"24"	"L 4 & 5 BLK 1 IVANHOE"	"IVANHOE"	""	""	"1890"	"551855.5863"	"4814415.039"	"3880"	"MADISON"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Walkway - Concrete"	"Shingles - Asphalt"	"Brick"	"Access Ramp Added"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Hipped"	"Brick - Polychromatic"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Fixed - Casement; Window Features: Divided Lights - Some - Rowlock Sill - Tripartite Window - Transom  |  Window 2: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill - Transom - Divided Lights - Some  |  Window 3: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "	
”DIS.14481"	"APPROVED"	"3710 E BRUCE RANDOLPH AVE"	"41"	"Basic Survey"	"1692290586"	"1692137603"	"1696533195"	"1950"	"DDS.206"	"Denver"	"3S"	"68W"	"25"	"L 2 EXC E 17FT THEREOF & ALL L 3 & E 9FT OF L 4 EXC S 10FT OF SD LTS BLK 16 J COOK JRS N DIV OF CAPITOL HILL"	"J CooK Jr.'s, NORTH DIVISION OF CAPITOL HILL"	""	""	"1888"	"552103.91"	"4813622.695"	"3710"	"BRUCE RANDOLPH"	"E"	"Meaghan Heinrich"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Fence - Front; Fence - Left Side; Fence - Right Side; Walkway - Concrete; Driveway - Ribbon"	"Shingles - Asphalt"	"Concrete - Block"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Hipped"	"Shutters"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Casement - Fixed; Window Features: Grouped Windows - Rowlock Sill - Transom  |  Window 2: Window Type: Casement - Fixed; Window Features: Paired Windows - Transom - Rowlock Sill "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade "	
”DIS.15132"	"APPROVED"	"3641 N JOSEPHINE ST"	"41"	"Basic Survey"	"1696093630"	"1694452867"	"1696544456"	"1951"	"DDS.813"	"Denver"	"3S"	"68W"	"25"	"L 26 & N1/2 OF L 25 BLK 6 LESSIG ADD"	"Lessig Addition"	""	""	"1889"	"550654.8454"	"4814054.849"	"3641"	"JOSEPHINE"	"N"	"Cindy Wolf"	"false"	"null"	"null"	"Clayton"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"No Clear Architectural Style"	"Fence - Rear; Walkway - Concrete"	"Shingles - Asphalt"	"Stucco - Historic"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Minimal Traditional"	"Set Back from Sidewalk"	"Hipped"	"Foundation - Concrete; Shutters; Awnings"	"5 - Not Altered"	"5 - Not Altered"	"None Visible"	" Window 1: Window Type: Casement - Fixed; Window Features: Grouped Windows - Rowlock Sill - Transom - Divided Lights - Some  |  Window 2: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill - Transom - Divided Lights - Some "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade "	" Associated Building and Objects 1: Building/Object Type: Accessory Dwelling Unit (ADU) " 
