"id"	"status"	"address"	"attributesDefinitionId"	"surveyLevel"	"surveyedAt"	"createdAt"	"updatedAt"	"yearBuilt"	"smithsonianNumber"	"city"	"township"	"range"	"section"	"legalDescription"	"additionName"	"block"	"lot"	"platYear"	"utmEasting"	"utmNorthing"	"streetNumber"	"streetName"	"streetDirection"	"surveyor"	"additionalNeeded"	"quarterSection"	"quarterQuarterSection"	"regionName"	"Historical Notes"	"Alteration-Other"	"Historic Name"	"Year Built"	"Year Built Source"	"Architect"	"Architect Source"	"Builder"	"Builder Source"	"Original Owner"	"Original Owner Source"	"Historical Background"	"Sources of Information"	"Period of Significance"	"Statement of Significance"	"Assessment of Integrity"	"NR District Potential"	"Building Plan"	"Roof Features"	"Additional Cladding"	"Local Evaluation - Individual"	"Local Criteria"	"Local Evaluation - District"	"NR Evaluation - Individual"	"NR Evaluation - District"	"NR Areas of Significance"	"NR Criteria"	"Original Use"	"Current Use"	"Stories"	"Building Category"	"Building Form"	"Architectural Style"	"Setting"	"Landscape Features"	"Roof Type"	"Roof Materials"	"Primary Cladding"	"Wall Features"	"Alteration Level"	"Alterations-Additions"	"Alterations-Entrances"	"Alterations-Roof"	"Alterations-Cladding"	"Alterations-Windows"	"Integrity Rating"	"General Architectural Notes"	"Window"	"Entrance"	"Associated Building and Objects"	"Chimney"
”DIS.13581"	"APPROVED"	"3054 N MILWAUKEE ST"	"41"	"Basic Survey"	"1683646341"	"1682107151"	"1687816825"	"1945"	"5DV.15799"	"Denver"	"3S"	"68W"	"25"	"L 1 & 2 EXC REAR 8 FT TO CITY BLK 10 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"504102"	"4401181"	"3054"	"MILWAUKEE"	"N"	"Judy Gordon"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk; Corner"	"Driveway - Solid; Fence - Rear; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Foundation - Concrete; Awnings"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"Wood lintels."	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Stone Sill "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Left Side "		
”DIS.13578"	"APPROVED"	"3031 N MILWAUKEE ST"	"41"	"Basic Survey"	"1683648201"	"1682107151"	"1687816848"	"1945"	"5DV.15721"	"Denver"	"3S"	"68W"	"25"	"L 23 & N 1/2 OF L 22 & S 16.755 FT OF L 24 EXC REAR 8 FT TO CITY BLK 11 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"504051"	"4401134"	"3031"	"MILWAUKEE"	"N"	"Pat Bernard"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Solid; Fence - Rear; Walkway - Concrete"	"Compound Roof; Hipped; Cross Gable"	"Shingles - Asphalt"	"Brick"	"Belt Course; Brick - Polychromatic"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"Wood lintels."	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All - Stone Sill "	" Entrance 1: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Front Facade "		
”DIS.13745"	"APPROVED"	"2615 N STEELE ST"	"41"	"Basic Survey"	"1683212962"	"1682107151"	"1683227271"	"1947"	"5DV.14979"	"Denver"	"3S"	"68W"	"25"	"L 17 & 18 BLK 24 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"504253"	"4400565"	"2615"	"STEELE"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Solid; Walkway - Concrete"	"Cross Gable"	"Shingles - Asphalt"	"Stucco - Historic"	"None"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Casement; Window Features: Paired Windows - Rowlock Sill  |  Window 2: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Tripartite Window  |  Window 3: Window Type: Casement - Fixed; Window Features: Picture Window - Rowlock Sill - Tripartite Window "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade "		
”DIS.13767"	"APPROVED"	"2755 N STEELE ST"	"41"	"Basic Survey"	"1683215664"	"1682107151"	"1683233764"	"1944"	"5DV.15267"	"Denver"	"3S"	"68W"	"25"	"L 29 & 30 & N 3.582FT OF L 28 BLK 9 ASHLEYS ADD EXC REAR 8FT TO CITY"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"504261"	"4400765"	"2755"	"STEELE"	"N"	"Todd Matuszewicz"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk; Corner"	"Fence - Rear; Walkway - Concrete"	"Compound Roof; Side Gable; Hipped"	"Shingles - Asphalt"	"Brick"	"Other Wall Details"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"Wood lintels. Permastone detail."	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All - Rowlock Sill  |  Window 2: Window Features: Stone Lintel; Window Type: Unknown Window Type "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Left Side  |  Entrance 2: Entrance Type: Unknown - Not Visible; Entrance Location: Right Side "		
”DIS.13787"	"APPROVED"	"2939 N STEELE ST"	"41"	"Basic Survey"	"1683217689"	"1682107151"	"1684530595"	"1944"	"5DV.15575"	"Denver"	"3S"	"68W"	"25"	"L 25 & S 16.846 FT OF L 26 & N 12.635 FT OF L 24 EXC REAR 8 FT BLK 24 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"504255"	"4401009"	"2939"	"STEELE"	"N"	"Todd Matuszewicz"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Front; Fence - Left Side; Fence - Right Side; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Brick - Polychromatic; Brick - Patterned"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Casement - Fixed; Window Features: Divided Lights - All - Rowlock Sill - Tripartite Window - Transom  |  Window 2: Window Type: Hopper/Awning; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Right Side "		
”DIS.13697"	"APPROVED"	"2828 N SAINT PAUL ST"	"41"	"Basic Survey"	"1683046428"	"1682107151"	"1683310853"	"1946"	"5DV.15372"	"Denver"	"3S"	"68W"	"25"	"L 6 & N 10.822 FT OF L 7 & S 17.63 FT OF L 5 EXC REAR 8 FT TO CITY BLK 8 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"504212"	"4400871"	"2828"	"SAINT PAUL"	"N"	"Judy Trompeter"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Brick - Patterned; Shutters"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Paired Windows - Rowlock Sill - Divided Lights - All  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Divided Lights - All "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Left Side "	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building "	
”DIS.13796"	"APPROVED"	"3007 N STEELE ST"	"41"	"Basic Survey"	"1683218135"	"1682107151"	"1684530654"	"1945"	"5DV.15647"	"Denver"	"3S"	"68W"	"25"	"L 16 & 17 EXC REAR 8 FT TO CITY BLK 9 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"504255"	"4401083"	"3007"	"STEELE"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Corner; Set Back from Sidewalk"	"Driveway - Solid; Walkway - Concrete; Fence - Right Side"	"Compound Roof; Cross Gable; Hipped"	"Shingles - Asphalt"	"Brick"	"Brick - Patterned"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All - Stone Sill - Stone Lintel "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "	" Associated Building and Objects 1: Building/Object Notes: Brick arch connecting main dwelling to garage. ; Building/Object Type: Garage - Detached "	
”DIS.12825"	"APPROVED"	"3620 E 30TH AVE"	"41"	"Full Survey"	"1687035643"	"1682106004"	"1716480540"	"1949"	"5DV.16088"	"Denver"	"3S"	"68W"	"25"	"L 3 BLK 12 CLAYTON PARK ADD"	"CLAYTON PARK ADDITION"	""	""	"1946"	"504745"	"4400990"	"3620"	"30TH"	"E"	"Meaghan Heinrich"	"false"	"null"	"null"	"Skyland"																		"L-Shaped Plan"	"Eaves - Boxed"	"Stucco - Historic"								"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Walkway - Concrete"	"Compound Roof; Cross Hip-on-Gable; Front Gable"	"Shingles - Asphalt"	"Brick"	"Brick - Patterned"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Casement - Fixed; Window Location: Front Facade - Right Side; Window Features: Rowlock Sill - Grouped Windows; Window Material: Metal - Steel  |  Window 2: Window Type: Fixed - Casement; Window Location: Front Facade; Window Features: Rowlock Sill - Transom - Tripartite Window - Divided Lights - Some; Window Material: Metal - Steel  |  Window 3: Window Type: Fixed; Window Location: Front Facade - Right Side; Window Features: None; Window Material: Glass Block "	" Entrance 1: Entrance Type: Stoop - High; Entrance Location: Corner; Entrance Features: Roof:  Front Gable; Door Type: Single "	" Associated Building and Objects 1: Building/Object Notes: Outdoor fireplace attached to rear exterior of garage.; Building/Object Type: Garage - Detached; Building/Object Location: Behind Primary Building "	" Chimney 1: Chimney Placement: Exterior - Rear; Chimney Material: Brick; Chimney Features: Multiple Flues "
”DIS.12908"	"APPROVED"	"3065 N ADAMS ST"	"41"	"Basic Survey"	"1687199881"	"1682106089"	"1687200436"	"1951"	"5DV.15820"	"Denver"	"3S"	"68W"	"25"	"N 15 FT OF L 10 & S 35 FT OF L 11 BLK 1 CLAYTON PARK ADD"	"CLAYTON PARK ADDITION"	""	""	"1946"	"504357"	"4401162"	"3065"	"ADAMS"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Walkway - Concrete; Driveway - Solid"	"Cross Gable"	"Shingles - Asphalt"	"Brick"	"Awnings; Brick - Patterned"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Tripartite Window  |  Window 2: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Paired Windows "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Left Side "	" Associated Building and Objects 1: Building/Object Type: Carport - Attached "	
”DIS.13711"	"APPROVED"	"2932 N SAINT PAUL ST"	"41"	"Basic Survey"	"1683386719"	"1682107151"	"1683416223"	"1941"	"5DV.15559"	"Denver"	"3S"	"68W"	"25"	"L 7 & N1/2 OF L 8 & S1/2 OF L 6 BLK 24 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"504213"	"4401001"	"2932"	"SAINT PAUL"	"N"	"Meaghan Heinrich"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Denver Roll; Driveway - Ribbon"	"Cross Gable"	"Shingles - Asphalt"	"Brick"	"Brick - Patterned; Gable Vents"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Casement - Fixed; Window Features: Divided Lights - All - Rowlock Sill - Transom - Tripartite Window  |  Window 2: Window Type: Casement; Window Features: Rowlock Sill - Divided Lights - All  |  Window 3: Window Type: Hopper/Awning; Window Features: Divided Lights - All "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade "	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	
