"id"	"status"	"address"	"attributesDefinitionId"	"surveyLevel"	"surveyedAt"	"createdAt"	"updatedAt"	"yearBuilt"	"smithsonianNumber"	"city"	"township"	"range"	"section"	"legalDescription"	"additionName"	"block"	"lot"	"platYear"	"utmEasting"	"utmNorthing"	"streetNumber"	"streetName"	"streetDirection"	"surveyor"	"additionalNeeded"	"quarterSection"	"quarterQuarterSection"	"regionName"	"General Architectural Notes"	"Historical Notes"	"Alteration-Other"	"Historic Name"	"Year Built"	"Year Built Source"	"Architect"	"Architect Source"	"Builder"	"Builder Source"	"Original Owner"	"Original Owner Source"	"Historical Background"	"Sources of Information"	"Period of Significance"	"Statement of Significance"	"Assessment of Integrity"	"NR District Potential"	"Building Plan"	"Roof Features"	"Additional Cladding"	"Local Evaluation - Individual"	"Local Criteria"	"Local Evaluation - District"	"NR Evaluation - Individual"	"NR Evaluation - District"	"NR Areas of Significance"	"NR Criteria"	"Original Use"	"Current Use"	"Building Category"	"Building Form"	"Architectural Style"	"Setting"	"Roof Type"	"Roof Materials"	"Primary Cladding"	"Alteration Level"	"Alterations-Additions"	"Alterations-Entrances"	"Alterations-Roof"	"Alterations-Cladding"	"Alterations-Windows"	"Stories"	"Landscape Features"	"Wall Features"	"Integrity Rating"	"Associated Building and Objects"	"Window"	"Entrance"	"Chimney"
”DIS.6779"	"REPORTED"	"3955 N CLAY ST"	"6"	"Basic Survey"	"1628956271"	"1628024908"	"1744659319"	"1950"	"5DV.48055"	"Denver"	"3S"	"68W"	"20"	"L 1 & N 12 FT OF L 2 BLK 2 BILLS BROTHERS ADD"	"Bills Bros' Addition"	""	""	"1917"	"498218.81192300000"	"4402441.30694000000"	"3955"	"CLAY"	"N"	"Corrina Madrid"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Corner; Set Back from Sidewalk"	"Hipped; Front Gable"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Built-In Planters; Denver Roll; Fence - Rear; Walkway - Concrete"	"Awnings; Brick - Polychromatic; Foundation - Concrete; Rowlock Course"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Casement; Window Features: Rowlock Sill - Paired Windows  |  Window 2: Window Type: Fixed - Casement; Window Features: Divided Lights - Some - Rowlock Sill - Tripartite Window - Transom  |  Window 3: Window Type: Fixed; Window Features: Rowlock Sill  |  Window 4: Window Type: Sliding; Window Features: Rowlock Sill  |  Window 5: Window Type: Fixed; Window Features: Divided Lights - All  |  Window 6: Window Type: Fixed - Casement; Window Features: Rowlock Sill - Transom "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Left Side  |  Entrance 2: Entrance Type: Unknown - Not Visible; Entrance Location: Left Side "	
”DIS.6813"	"REPORTED"	"2785 W DENVER PL"	"6"	"Basic Survey"	"1629994557"	"1628024908"	"1742591704"	"1942"	"5DV.48089"	"Denver"	"3S"	"68W"	"20"	"L 1 & W 1/2 OF L 2 BLK 2 KURTZ PL 2ND FLG"	"Kurtz Place 2nd Filing"	""	""	"1913"	"498052.86358200000"	"4402279.77869000000"	"2785"	"DENVER"	"W"	"Kevin Kelly"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"English Norman Cottage"	"Set Back from Sidewalk; Corner"	"Cross Gable"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Fence - Rear; Walkway - Concrete; Fence - Historic"	"Brick - Polychromatic; Brick - Corbeled; Brick - Patterned; Foundation - Concrete; Gable Vents; Belt Course"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Casement; Window Features: Divided Lights - All - Paired Windows - Rowlock Sill  |  Window 2: Window Type: Casement; Window Features: Divided Lights - All - Rowlock Sill  |  Window 3: Window Features: Divided Lights - All - Rowlock Sill - Transom - Paired Windows; Window Type: Casement - Fixed  |  Window 4: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Tripartite Window - Divided Lights - All "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Stoop - High  |  Entrance 2: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Rear "	
”DIS.4577"	"REPORTED"	"4700 N ELM CT"	"6"	"Basic Survey"	"1620153601"	"1620086249"	"1745805507"	"1947"	"5DV.45507"	"DENVER"	"3S"	"68W"	"20"	"NORTH BOULEVARD HEIGHTS B5 L23 & 24"	"NORTH BOULEVARD HEIGHTS"	""	""	"1889"	"498068.9636"	"4403580.049"	"4700"	"ELM"	"N"	"Suzy LaViolette"	"false"	"null"	"null"	"Sunnyside"	"Two tripartite windows form front corner window on south and west side of house and two pared casement windows form corner window in south rear of house"																		"Rectangular Plan"	"Eaves - Open; Rafter Tails"									"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"Mixed Style"	"Set Back from Sidewalk; Corner"	"Hipped"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"Addition - Rear; Addition Appears Historic"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Built-In Planters; Fence - Rear; Walkway - Concrete"	"Foundation - Concrete"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Fixed - Casement; Window Location: Front Facade - Right Side; Window Features: Divided Lights - Some - Tripartite Window - Rowlock Sill; Window Material: Wood  |  Window 2: Window Type: Fixed; Window Location: Left Side; Window Features: Slot Window; Window Material: Glass Block  |  Window 3: Window Type: Casement; Window Location: Front Facade; Window Features: Rowlock Sill - Tripartite Window - Divided Lights - All; Window Material: Wood  |  Window 4: Window Type: Casement; Window Location: Rear - Right Side - Left Side; Window Features: Divided Lights - All - Paired Windows - Rowlock Sill; Window Material: Wood  |  Window 5: Window Type: Casement; Window Location: Left Side; Window Features: Divided Lights - All - Rowlock Sill; Window Material: Wood  |  Window 6: Window Type: Hopper/Awning; Window Location: Basement - Right Side; Window Features: None; Window Material: Metal - Steel  |  Window 7: Window Type: Sliding; Window Location: Left Side; Window Features: Rowlock Sill; Window Material: Metal - Steel "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade; Entrance Features: Roof:  Hipped; Door Type: Single "	" Chimney 1: Chimney Placement: Exterior - Right Side; Chimney Material: Brick; Chimney Features: Multiple Flues - Decorative "
”DIS.6520"	"REPORTED"	"3940 N ZUNI ST"	"6"	"Basic Survey"	"1628010289"	"1626294661"	"1744409824"	"1956"	"5DV.47803"	"Denver"	"3S"	"68W"	"21"	"THE S3/4 OF L 4 & ALL OF L 5 & 6 BLK 2 HENRICHS 2ND ADD"	"Henrich's 2ND Addition"	""	""	"1890"	"498661.56455600000"	"4402376.13954000000"	"3940"	"ZUNI"	"N"	"Patrick Salazar"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"Ranch"	"Set Back from Sidewalk"	"Hipped"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Fence - Rear; Walkway - Concrete"	"Brick - Polychromatic; Brick - Patterned; Foundation - Not Visible; Quoins"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Fixed; Window Features: Rowlock Sill - Picture Window  |  Window 2: Window Type: Casement - Fixed; Window Features: Tripartite Window - Rowlock Sill  |  Window 3: Window Type: Casement; Window Features: Rowlock Sill - Paired Windows  |  Window 4: Window Features: Paired Windows - Transom - Rowlock Sill; Window Type: Casement - Fixed  |  Window 5: Window Type: Fixed - Casement; Window Features: Divided Lights - Some - Rowlock Sill - Transom - Tripartite Window "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Right Side "	
”DIS.4653"	"REPORTED"	"4691 N ZUNI ST"	"6"	"Basic Survey"	"1620842958"	"1620086249"	"1744409296"	"1960"	"5DV.45583"	"DENVER"	"3S"	"68W"	"20"	"FINCH & IVES ADDITION B1 L47 & 48"	"Finch and Ives Addition"	""	""	"1903"	"498616.5242"	"4403544.411"	"4691"	"ZUNI"	"N"	"Chris Geddes"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"Ranch"	"Set Back from Sidewalk; Corner"	"Hipped"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Denver Roll; Fence - Rear; Fence - Right Side; Walkway - Concrete; Driveway - Solid"	"Foundation - Concrete"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached  |  Associated Building and Objects 2: Building/Object Type: Shed or Storage Building "	" Window 1: Window Type: Fixed - Casement; Window Features: Rowlock Sill - Transom - Tripartite Window - Divided Lights - Some  |  Window 2: Window Type: Fixed; Window Features: Picture Window - Rowlock Sill  |  Window 3: Window Type: Casement - Fixed; Window Features: Tripartite Window - Rowlock Sill  |  Window 4: Window Type: Casement; Window Features: Paired Windows - Rowlock Sill "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Right Side  |  Entrance 2: Entrance Type: Stoop - Low; Entrance Location: Left Side "	
”DIS.5784"	"REPORTED"	"4545 N QUIVAS ST"	"6"	"Basic Survey"	"1624979214"	"1624464515"	"1744064874"	"1946"	"5DV.46685"	"Denver"	"3S"	"68W"	"21"	"L 27 BLK 4 CHAFFEE PARK SUB"	"CHAFFEE PARK SUBDIVISION"	""	""	"1945"	"499305.25591500000"	"4403194.60513000000"	"4545"	"QUIVAS"	"N"	"Greg Savage"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Cross Gable"	"Shingles - Asphalt"	"Shingles - Asbestos"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Fence - Rear; Walkway - Concrete"	"Foundation - Concrete; Gable Vents; Shutters"	"5 - Not Altered"		" Window 1: Window Type: Fixed; Window Features: Picture Window  |  Window 2: Window Type: Casement - Fixed; Window Features: Divided Lights - Some - Tripartite Window - Transom "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Right Side "	
”DIS.4509"	"REPORTED"	"4710 N ALCOTT ST"	"6"	"Basic Survey"	"1620840046"	"1620086249"	"1744649829"	"1949"	"5DV.45439"	"DENVER"	"3S"	"68W"	"20"	"LOSASSO ADD B1 L4"	"Losasso Addition"	""	""	"1941"	"498569.1683"	"4403592.946"	"4710"	"ALCOTT"	"N"	"Judy Gordon"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Hipped"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Fence - Rear; Walkway - Concrete; Fence - Right Side"	"Brick - Polychromatic; Foundation - Concrete"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Tripartite Window - Divided Lights - Some  |  Window 2: Window Type: Sliding; Window Features: None  |  Window 3: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Paired Windows  |  Window 4: Window Type: Fixed; Window Features: Rowlock Sill - Divided Lights - All "	" Entrance 1: Entrance Type: Stoop - High; Entrance Location: Right Side "	
”DIS.5384"	"REPORTED"	"4745 N SHOSHONE ST"	"6"	"Basic Survey"	"1622740625"	"1622155504"	"1744324491"	"1941"	"5DV.46298"	"Denver"	"3S"	"68W"	"21"	"S 60.19FT OF E 125FT OF PLOT 1 BLK 10 N HIGHLANDS"	"North Highlands"	""	""	"1873"	"499149.28314700000"	"4403562.45646000000"	"4745"	"SHOSHONE"	"N"	"Charlotte Willard"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Hipped"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Built-In Planters; Driveway - Solid; Fence - Front; Fence - Left Side; Fence - Right Side; Walkway - Concrete; Fence - Rear"	"Belt Course; Brick - Polychromatic; Brick - Patterned; Rowlock Course; Foundation - Concrete"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Fixed - Casement; Window Features: Decorative Surround - Divided Lights - Some - Rowlock Sill - Tripartite Window - Transom  |  Window 2: Window Features: Rowlock Sill; Window Type: Unknown Window Type - Fixed  |  Window 3: Window Features: Paired Windows - Rowlock Sill - Transom; Window Type: Casement - Fixed  |  Window 4: Window Type: Fixed - Casement; Window Features: Paired Windows - Rowlock Sill  |  Window 5: Window Type: Casement; Window Features: Decorative Surround - Divided Lights - Some - Rowlock Sill - Tripartite Window - Transom "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Left Side "	
”DIS.6725"	"REPORTED"	"4051 N ALCOTT ST"	"6"	"Basic Survey"	"1629214296"	"1628024908"	"1744651558"	"1953"	"5DV.48001"	"Denver"	"3S"	"68W"	"20"	"L 3 & 4 BLK 20 PERRINS SUB VAN CAMPS RES"	"VAN CAMP'S RESUBDIVISION OF BLOCK 20 PERRIN'S SUBDIVISION"	""	""	"1889"	"498486.24377900000"	"4402522.73753000000"	"4051"	"ALCOTT"	"N"	"Cindy Wolf"	"false"	"null"	"null"	"Sunnyside"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"Ranch"	"Set Back from Sidewalk"	"Hipped"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Fence - Rear; Walkway - Concrete; Wall - Retaining"	"Brick - Polychromatic; Brick - Patterned; Foundation - Concrete; Rowlock Course; Awnings"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Casement - Fixed; Window Features: Decorative Surround - Rowlock Sill - Transom - Tripartite Window  |  Window 2: Window Type: Casement; Window Features: Decorative Surround - Rowlock Sill - Paired Windows "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade "	
”DIS.4962"	"REPORTED"	"4501 N DECATUR ST"	"6"	"Full Survey"	"1621533730"	"1621282064"	"1744660174"	"1948"	"5DV.45882"	"Denver"	"3S"	"68W"	"20"	"CARLSON HILL ADDITION B2 L25 & 26"	"Carlson Hill Addition"	""	""	"1924"	"498121.63012300000"	"4403180.37049000000"	"4501"	"DECATUR"	"N"	"Yolita Rausche"	"false"	"null"	"null"	"Sunnyside"		"Built in 1929 per owner"																	"Irregular Plan"	"None"	"Stucco - Modern"								"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"Residential"	"Minimal Traditional"	"English Norman Cottage"	"Corner; Set Back from Sidewalk"	"Cross Gable"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"1"	"Fence - Rear; Walkway - Concrete; Wall - Retaining"	"Belt Course; Brick - Polychromatic; Brick - Corbeled; Brick - Patterned; Gable Vents; Foundation - Concrete"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached; Building/Object Location: Behind Primary Building "	" Window 1: Window Type: Double/Single Hung; Window Location: Left Side - Front Facade; Window Features: Decorative Surround - Divided Lights - Some - Paired Windows - Rowlock Sill; Window Material: Wood  |  Window 2: Window Features: Decorative Surround - Divided Lights - Some - Rowlock Sill; Window Material: Wood; Window Type: Double/Single Hung; Window Location: Front Facade - Left Side - Rear  |  Window 3: Window Type: Hopper/Awning; Window Features: Divided Lights - All; Window Material: Wood; Window Location: Basement - Left Side "	" Entrance 1: Entrance Type: Stoop - High; Entrance Location: Front Facade; Door Type: Single "	" Chimney 1: Chimney Placement: Exterior - Front Facade; Chimney Material: Brick; Chimney Features: Decorative "
