"id"	"status"	"address"	"attributesDefinitionId"	"surveyLevel"	"surveyedAt"	"createdAt"	"updatedAt"	"yearBuilt"	"smithsonianNumber"	"city"	"township"	"range"	"section"	"legalDescription"	"additionName"	"block"	"lot"	"platYear"	"utmEasting"	"utmNorthing"	"streetNumber"	"streetName"	"streetDirection"	"surveyor"	"additionalNeeded"	"quarterSection"	"quarterQuarterSection"	"regionName"	"General Architectural Notes"	"Historical Notes"	"Alteration-Other"	"Historic Name"	"Year Built"	"Year Built Source"	"Architect"	"Architect Source"	"Builder"	"Builder Source"	"Original Owner"	"Original Owner Source"	"Historical Background"	"Sources of Information"	"Period of Significance"	"Statement of Significance"	"Assessment of Integrity"	"NR District Potential"	"Building Plan"	"Roof Features"	"Additional Cladding"	"Original Location"	"Local Evaluation - Individual"	"Local Criteria"	"Local Evaluation - District"	"NR Evaluation - Individual"	"NR Evaluation - District"	"NR Areas of Significance"	"NR Criteria"	"Original Use"	"Current Use"	"Stories"	"Building Category"	"Building Form"	"Architectural Style"	"Setting"	"Landscape Features"	"Roof Type"	"Roof Materials"	"Primary Cladding"	"Wall Features"	"Alteration Level"	"Alterations-Additions"	"Alterations-Entrances"	"Alterations-Roof"	"Alterations-Cladding"	"Alterations-Windows"	"Integrity Rating"	"CPD Map Eligibility"	"Associated Building and Objects"	"Window"	"Entrance"	"Chimney"
”DIS.19831"	"APPROVED"	"1020 N PERRY ST"	"42"	"Basic Survey"	"1724510106"	"1719859691"	"1724703468"	"1954"	""	"Denver"	"4S"	"68W"	"6"	"L 19 & 20 BLK 13 WEST VILLA PARK"	"West Villa Park"	""	""	""	"543152.5357"	"4809887.658"	"1020"	"PERRY"	"N"	"Meaghan Heinrich"	"false"	""	""	"Villa Park"																														"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Solid; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Siding - Aluminum"	"Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Double/Single Hung - Fixed; Window Features: Tripartite Window  |  Window 2: Window Type: Double/Single Hung; Window Features: Paired Windows  |  Window 3: Window Type: Fixed - Unknown Window Type; Window Features: Tripartite Window  |  Window 4: Window Type: Double/Single Hung; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade "	
”DIS.18928"	"APPROVED"	"1027 N HOOKER ST"	"42"	"Basic Survey"	"1720541814"	"1719859691"	"1724094758"	"1946"	""	"Denver"	"4S"	"68W"	"5"	"L 31 & 32 BLK 12 VILLA PARK"	"Villa Park"	""	""	"1888"	"544086.7479"	"4809899.011"	"1027"	"HOOKER"	"N"	"Marcia Heit"	"false"	""	""	"Villa Park"																														"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete"	"Side Gable"	"Shingles - Asphalt"	"Shingles - Asbestos"	"Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Porch - Partial Width - Recessed  |  Entrance 2: Entrance Type: Unknown - Not Visible; Entrance Location: Right Side "	
”DIS.18985"	"APPROVED"	"860 N IRVING ST"	"42"	"Basic Survey"	"1721162883"	"1719859691"	"1721165099"	"1948"	""	"Denver"	"4S"	"68W"	"5"	"L 7 & 8 BLK 28 VILLA PARK"	"Villa Park"	""	""	"1888"	"544039.1914"	"4809542.958"	"860"	"IRVING"	"N"	"Meaghan Heinrich"	"false"	""	""	"Villa Park"																														"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Walkway - Concrete; Fence - Rear"	"Hipped"	"Shingles - Asphalt"	"Siding - Aluminum"	"Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"	" Associated Building and Objects 1: Building/Object Type: Unknown - Not Visible "	" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All - Paired Windows  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - All "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade "	
”DIS.18978"	"APPROVED"	"828 N IRVING ST"	"42"	"Basic Survey"	"1721141389"	"1719859691"	"1721169354"	"1948"	""	"Denver"	"4S"	"68W"	"5"	"L 17 & 18 BLK 28 VILLA PARK"	"Villa Park"	""	""	"1888"	"544039.8482"	"4809460.21"	"828"	"IRVING"	"N"	"Denise Ross"	"false"	""	""	"Villa Park"																														"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Shingles - Unknown"	"Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All - Paired Windows  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - All "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade "	
”DIS.19115"	"APPROVED"	"1030 N JULIAN ST"	"42"	"Basic Survey"	"1721487073"	"1719859691"	"1722294373"	"1946"	""	"Denver"	"4S"	"68W"	"5"	"LOTS 17 & 18 BLK 13 VILLA PARK"	"Villa Park"	""	""	"1888"	"543931.6153"	"4809899.178"	"1030"	"JULIAN"	"N"	"Jehn Howard"	"false"	""	""	"Villa Park"																														"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Walkway - Concrete"	"Side Gable"	"Shingles - Asphalt"	"Shingles - Asbestos"	"None"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Porch - Partial Width - Recessed "	
”DIS.19092"	"APPROVED"	"930 N JULIAN ST"	"42"	"Basic Survey"	"1721490233"	"1719859691"	"1722292339"	"1946"	""	"Denver"	"4S"	"68W"	"5"	"L 17 & 18 BLK 20 VILLA PARK"	"Villa Park"	""	""	"1888"	"543930.3626"	"4809679.515"	"930"	"JULIAN"	"N"	"Jehn Howard"	"false"	""	""	"Villa Park"																														"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Walkway - Concrete"	"Side Gable"	"Shingles - Asphalt"	"Shingles - Asbestos"	"Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Left Side "	
”DIS.19076"	"APPROVED"	"855 N JULIAN ST"	"42"	"Basic Survey"	"1721747798"	"1719859691"	"1722288960"	"1949"	""	"Denver"	"4S"	"68W"	"5"	"L 37 & 38 BLK 30 VILLA PARK"	"Villa Park"	""	""	"1888"	"543872.5623"	"4809510.695"	"855"	"JULIAN"	"N"	"Marcia Heit"	"false"	""	""	"Villa Park"																														"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Walkway - Concrete"	"Cross Gable"	"Shingles - Asphalt"	"Shingles - Asbestos"	"Foundation - Concrete; Shutters"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Porch - Partial Width - Recessed "	
”DIS.19112"	"APPROVED"	"1010 N JULIAN ST"	"42"	"Basic Survey"	"1721487659"	"1719859691"	"1722294587"	"1946"	""	"Denver"	"4S"	"68W"	"5"	"L 21 & 22 BLK 13 VILLA PARK"	"Villa Park"	""	""	"1888"	"543931.7456"	"4809865.87"	"1010"	"JULIAN"	"N"	"Michael J Ankner"	"false"	""	""	"Villa Park"	"Classical Revival surround on entrance."																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"Classical Revival"	"Set Back from Sidewalk"	"Fence - Left Side; Fence - Right Side; Walkway - Concrete"	"Side Gable"	"Shingles - Asphalt"	"Shingles - Asbestos"	"Awnings; Pilasters; Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"		" Window 1: Window Type: Fixed; Window Features: Divided Lights - All - Paired Windows "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "	
”DIS.19279"	"APPROVED"	"845 N KNOX CT"	"42"	"Full Survey"	"1722092356"	"1719859691"	"1722714627"	"1941"	""	"Denver"	"4S"	"68W"	"5"	"L 36 & 37 BLK 31 VILLA PARK"	"Villa Park"	""	""	"1888"	"543764.0697"	"4809502.23"	"845"	"KNOX"	"N"	"Meaghan Heinrich"	"false"	""	""	"Villa Park"																			"Irregular Plan"	"Eaves - Open; Rafter Tails; Eaves - None"	"Siding - Vertical, Wood"									"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Denver Roll; Walkway - Concrete"	"Cross Gable"	"Shingles - Asphalt"	"Brick"	"Gable Vents; Shutters"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"		" Window 1: Window Type: Fixed - Casement; Window Location: Front Facade - Left Side - Right Side; Window Features: Divided Lights - All - Rowlock Sill - Transom; Window Material: Metal - Steel  |  Window 2: Window Type: Casement - Fixed; Window Location: Left Side - Right Side; Window Features: Divided Lights - Some - Transom - Paired Windows "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade; Entrance Features: Roof:  Hipped; Door Type: Single "	" Chimney 1: Chimney Placement: Interior - Central; Chimney Material: Brick; "
”DIS.19416"	"APPROVED"	"860 N LOWELL BLVD"	"42"	"Basic Survey"	"1723305974"	"1719859691"	"1723492272"	"1949"	""	"Denver"	"4S"	"68W"	"6"	"L 1 & 2 BLK 18 WINDSOR"	"WINDSOR"	""	""	"1882"	"543543.931"	"4809526.948"	"860"	"LOWELL"	"N"	"Felicia Foster"	"false"	""	""	"Villa Park"																														"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Corner; Set Back from Sidewalk"	"Driveway - Solid; Fence - Front; Fence - Left Side; Fence - Right Side; Wall - Retaining; Walkway - Concrete"	"Side Gable"	"Shingles - Asphalt"	"Shingles - Unknown"	"None"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"More Data is Needed"	" Associated Building and Objects 1: Building/Object Type: Carport - Detached "	" Window 1: Window Type: Casement; Window Features: Paired Windows "	" Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Rear "	
