"id"	"status"	"address"	"attributesDefinitionId"	"surveyLevel"	"surveyedAt"	"createdAt"	"updatedAt"	"yearBuilt"	"smithsonianNumber"	"city"	"township"	"range"	"section"	"legalDescription"	"additionName"	"block"	"lot"	"platYear"	"utmEasting"	"utmNorthing"	"streetNumber"	"streetName"	"streetDirection"	"surveyor"	"additionalNeeded"	"quarterSection"	"quarterQuarterSection"	"regionName"	"Historical Notes"	"Alteration-Other"	"Historic Name"	"Year Built"	"Year Built Source"	"Architect"	"Architect Source"	"Builder"	"Builder Source"	"Original Owner"	"Original Owner Source"	"Historical Background"	"Sources of Information"	"Period of Significance"	"Statement of Significance"	"Assessment of Integrity"	"NR District Potential"	"Building Plan"	"General Architectural Notes"	"Roof Features"	"Additional Cladding"	"Local Evaluation - Individual"	"Local Criteria"	"Local Evaluation - District"	"NR Evaluation - Individual"	"NR Evaluation - District"	"NR Areas of Significance"	"NR Criteria"	"Original Use"	"Current Use"	"Stories"	"Building Category"	"Building Form"	"Architectural Style"	"Setting"	"Landscape Features"	"Roof Type"	"Roof Materials"	"Primary Cladding"	"Alteration Level"	"Alterations-Additions"	"Alterations-Entrances"	"Alterations-Roof"	"Alterations-Cladding"	"Alterations-Windows"	"Wall Features"	"Integrity Rating"	"Associated Building and Objects"	"Window"	"Entrance"
”DIS.11119"	"REPORTED"	"3280 W OHIO AVE"	"7"	"Basic Survey"	"1652808018"	"1651675046"	"1744618528"	"1949"	"5DV.53625"	"Denver"	"4S"	"68W"	"17"	"L 4 & 5 & W 10FT OF L 6 BLK 39 ADAMS GARDENS"	"Adams Gardens"	""	""	"1949"	"497488.79721600000"	"4394681.96031000000"	"3280"	"OHIO"	"W"	"Chris Geddes"	"false"	"null"	"null"	"Westwood"																			"Owner has been here since 1951"										"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Front; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete; Driveway - Solid"	"Cross Gable"	"Shingles - Asphalt"	"Shingles - Asbestos"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Foundation - Concrete; Gable Vents"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage – Attached  |  Associated Building and Objects 2: Building/Object Type: Shed or Storage Building "	" Window 1: Window Type: Fixed; Window Features: Picture Window  |  Window 2: Window Type: Double/Single Hung; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Stoop - High; Entrance Location: Left Side "
”DIS.11451"	"REPORTED"	"565 S PERRY ST"	"41"	"Basic Survey"	"1680378269"	"1651675046"	"1744650494"	"1955"	"5DV.54062"	"Denver"	"4S"	"68W"	"18"	"L 39 & 40 BLK 30 BELMONT PARK"	"BELMONT PARK"	""	""	"1924"	"496568.97374300000"	"4395225.43230000000"	"565"	"PERRY"	"S"	"Meaghan Heinrich"	"false"	"null"	"null"	"Westwood"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Ribbon; Driveway - Unpaved; Fence - Rear; Fence - Right Side; Walkway - Concrete; Fence - Left Side"	"Hipped"	"Shingles - Asphalt"	"Siding - Aluminum"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Awnings"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Casement - Fixed; Window Features: Tripartite Window - Transom  |  Window 2: Window Type: Casement - Fixed; Window Features: Paired Windows "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Right Side  |  Entrance 2: Entrance Type: Stoop - Low; Entrance Location: Front Facade "
”DIS.10756"	"REPORTED"	"3285 W MISSISSIPPI AVE"	"7"	"Basic Survey"	"1651601336"	"1651535369"	"1744610170"	"1954"	"5DV.53261"	"Denver"	"4S"	"68W"	"17"	"THE W 59FT OF L 19 & 20 BOBO MCINTOSH BARTON SUB"	"BOBO, MCINTOSH & BARTON SUBDIVISION"	""	""	"1945"	"497468.2313"	"4394126.715"	"3285"	"MISSISSIPPI"	"W"	"Chris Geddes"	"false"	"null"	"null"	"Westwood"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk; Corner"	"Fence - Rear; Walkway - Concrete; Driveway - Solid"	"Hipped"	"Shingles - Asphalt"	"Siding - Aluminum"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Foundation - Concrete; Awnings"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Casement; Window Features: Tripartite Window  |  Window 2: Window Type: Casement; Window Features: Paired Windows  |  Window 3: Window Type: Hopper/Awning; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Left Side  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Rear "
”DIS.10364"	"REPORTED"	"941 S IRVING ST"	"7"	"Basic Survey"	"1652377304"	"1651535369"	"1744600614"	"1952"	"5DV.52869"	"Denver"	"4S"	"68W"	"17"	"PLOT 14 & N 9FT OF PLOT 15 WESTWOOD PARK"	"WESTWOOD PARK"	""	""	"1949"	"497394.9792"	"4394412.618"	"941"	"IRVING"	"S"	"Kevin Kelly"	"false"	"null"	"null"	"Westwood"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Front; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete; Fence - Historic"	"Side Gable"	"Shingles - Asphalt"	"Shingles - Asbestos"	"5 - Not Altered"	"Access Ramp Added"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Foundation - Concrete; Shutters; Gable Vents"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Double/Single Hung; Window Features: None  |  Window 2: Window Type: Fixed; Window Features: Picture Window  |  Window 3: Window Type: Double/Single Hung; Window Features: Paired Windows "	" Entrance 1: Entrance Type: Stoop - High; Entrance Location: Front Facade "
”DIS.10541"	"REPORTED"	"570 S KNOX CT"	"7"	"Basic Survey"	"1655999699"	"1651535369"	"1744605331"	"1937"	"5DV.53046"	"Denver"	"4S"	"68W"	"17"	"S 63.15FT OF L 1 & 2 BLK 18 ADAMS PARK ANNEX"	"Adams Park Annex"	""	""	"1925"	"497234.7643"	"4395172.229"	"570"	"KNOX"	"S"	"Chris Geddes"	"false"	"null"	"null"	"Westwood"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Front; Fence - Left Side; Fence - Right Side; Walkway - Concrete"	"Side Gable"	"Shingles - Asphalt"	"Siding - Aluminum"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Foundation - Concrete"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building "	" Window 1: Window Type: Double/Single Hung; Window Features: None "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Porch - Partial Width - Projecting "
”DIS.12065"	"REPORTED"	"3200 W VIRGINIA AVE"	"7"	"Basic Survey"	"1654361877"	"1651675046"	"1744662441"	"1955"	"5DV.54676"	"Denver"	"4S"	"68W"	"17"	"L 13 & 14 BLK 14 ADAMS PARK ANNEX"	"Adams Park Annex"	""	""	"1925"	"497555.76373400000"	"4395283.94001000000"	"3200"	"VIRGINIA"	"W"	"Rebecca Berner"	"false"	"null"	"null"	"Westwood"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Front; Fence - Left Side; Fence - Right Side; Walkway - Concrete"	"Cross Gable"	"Shingles - Asphalt"	"Siding - Horizontal, Unknown Material"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Awnings; Foundation - Concrete"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building "	" Window 1: Window Type: Fixed; Window Features: Picture Window  |  Window 2: Window Type: Casement - Fixed; Window Features: Divided Lights - Some - Transom - Tripartite Window  |  Window 3: Window Type: Double/Single Hung; Window Features: None  |  Window 4: Window Type: Sliding; Window Features: None "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Right Side  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Right Side "
”DIS.11565"	"REPORTED"	"648 S QUITMAN ST"	"8"	"Full Survey"	"1663087376"	"1651675046"	"1744653708"	"1954"	"5DV.54176"	"Denver"	"4S"	"68W"	"18"	"L 19 & 20 BLK 39 BELMONT PARK ANNEX"	"Belmont Park Annex"	""	""	"1924"	"496527.20647500000"	"4394974.51672000000"	"648"	"QUITMAN"	"S"	"Faith Hamman"	"false"	"null"	"null"	"Westwood"																		"Rectangular Plan"	"Transitional Ranch. Coal shute towards the rear on right side?"	"Eaves - Boxed"									"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"Ranch"	"Set Back from Sidewalk"	"Driveway - Solid; Fence - Left Side; Fence - Rear; Walkway - Concrete"	"Side Gable"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Awnings; Foundation - Not Visible; Gable Vents"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached; Building/Object Location: Behind Primary Building "	" Window 1: Window Type: Casement - Fixed; Window Location: Front Facade - Right Side; Window Features: Rowlock Sill - Tripartite Window - Transom; Window Material: Metal - Other than steel  |  Window 2: Window Type: Casement; Window Location: Front Facade - Left Side; Window Features: Rowlock Sill - Grouped Windows; Window Material: Metal - Other than steel  |  Window 3: Window Type: Casement; Window Location: Right Side; Window Features: Rowlock Sill - Paired Windows; Window Material: Metal - Other than steel "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade; Door Type: Single "
”DIS.11837"	"REPORTED"	"545 S STUART ST"	"41"	"Basic Survey"	"1669917720"	"1651675046"	"1744658880"	"1954"	"5DV.54448"	"Denver"	"4S"	"68W"	"18"	"L 3 & 4 BLK 27 BELMONT PARK"	"BELMONT PARK"	""	""	"1924"	"496268.75079700000"	"4395248.06433000000"	"545"	"STUART"	"S"	"Meaghan Heinrich"	"false"	"null"	"null"	"Westwood"																													"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Solid; Fence - Left Side; Fence - Rear; Walkway - Concrete; Fence - Right Side"	"Side Gable"	"Shingles - Asphalt"	"Siding - Aluminum"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Gable Vents"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building "	" Window 1: Window Type: Sliding  |  Window 2: Window Type: Fixed - Sliding; Window Features: Tripartite Window "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "
”DIS.10776"	"REPORTED"	"4515 W MISSISSIPPI AVE"	"8"	"Basic Survey"	"1660405180"	"1651535369"	"1744609960"	"1956"	"5DV.53281"	"Denver"	"4S"	"68W"	"18"	"N 117FT OF S 132FT OF PT OF SW 1/4 SEC 18 4 68 BEG ON S LI SD SW 1/4 354.6FT W OF SE COR SD 1/4 TH N 270FT TH W 50FT TH S 270FT TH E 50FT TO POB"	"No Subdivision"	""	""	"0"	"496134.9335"	"4394125.317"	"4515"	"MISSISSIPPI"	"W"	"Rebecca Berner"	"false"	"null"	"null"	"Westwood"																			"Transitional Ranch. Long roman bricks on upper portion and traditional brick on lower portion of front facade."										"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"Ranch"	"Set Back from Sidewalk"	"Driveway - Solid; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Foundation - Concrete; Other Wall Details"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 2: Window Type: Sliding; Window Features: Rowlock Sill  |  Window 3: Window Type: Fixed - Casement; Window Features: Tripartite Window - Rowlock Sill "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "
”DIS.10477"	"REPORTED"	"4450 W KENTUCKY AVE"	"7"	"Basic Survey"	"1659807040"	"1651535369"	"1744602345"	"1953"	"5DV.52982"	"Denver"	"4S"	"68W"	"18"	"L 6 & 7 BLK 3 KENTUCKY GARDENS"	"KENTUCKY GARDENS"	""	""	"1938"	"496165.1944"	"4394474.59"	"4450"	"KENTUCKY"	"W"	"Beth Glandon"	"false"	"null"	"null"	"Westwood"																			"Transitional Ranch. Hard to see building because of vegetation."										"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Solid"	"Hipped"	"Shingles - Asphalt"	"Concrete - Block"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"Shutters"	"5 - Not Altered"	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	" Window 1: Window Type: Fixed - Casement; Window Features: Rowlock Sill - Tripartite Window  |  Window 2: Window Type: Casement; Window Features: Rowlock Sill "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Right Side  |  Entrance 2: Entrance Type: Unknown - Not Visible; Entrance Location: Front Facade " 
