building_id,address,dataset,neighborhood,style,image_path,architectural_style,building_form,roof_type,primary_cladding,stories,alteration_level,setting,chimney_present,window,entrance,roof_features,roof_materials,additional_cladding,wall_features,landscape_features,associated_buildings,building_plan,building_category,current_use,original_use,alterations_additions,alterations_entrances,alterations_roof,alterations_cladding,alterations_windows
DIS.14425,3510 N MADISON ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.843_3510_N_MADISON_ST.hRP7Pu.jpg,Craftsman,Bungalow,Cross Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Paired Windows  |  Window 2: Window Type: Fixed - Unknown Window Type; Window Features: Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Denver Roll; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.14425,3510 N MADISON ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.843_3510_N_MADISON_ST.Wusq3d.jpg,Craftsman,Bungalow,Cross Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Paired Windows  |  Window 2: Window Type: Fixed - Unknown Window Type; Window Features: Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Denver Roll; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.14425,3510 N MADISON ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.843_3510_N_MADISON_ST.EBCko4.jpg,Craftsman,Bungalow,Cross Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Paired Windows  |  Window 2: Window Type: Fixed - Unknown Window Type; Window Features: Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Denver Roll; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.14121,3224 N FILLMORE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.504_3224_N_FILLMORE_ST.FnC_c1.jpg,Craftsman,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Grouped Windows - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 4: Window Type: Fixed; Window Features: Divided Lights - All - Rowlock Sill,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.14121,3224 N FILLMORE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.504_3224_N_FILLMORE_ST.v3SAM8.jpg,Craftsman,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Grouped Windows - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 4: Window Type: Fixed; Window Features: Divided Lights - All - Rowlock Sill,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.14121,3224 N FILLMORE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.504_3224_N_FILLMORE_ST.FhmeD5.jpg,Craftsman,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Grouped Windows - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 4: Window Type: Fixed; Window Features: Divided Lights - All - Rowlock Sill,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13924,3237 N JOSEPHINE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.764_3237_N_JOSEPHINE_ST.ydMjcX.jpg,Craftsman,Bungalow,Cross Gable,Brick,1-1/2,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Cottage Window - Rowlock Sill  |  Window 2: Window Type: Fixed; Window Features: Divided Lights - All - Dormer Window  |  Window 3: Window Type: Casement; Window Features: Rowlock Sill  |  Window 4: Window Type: Double/Single Hung; Window Features: Grouped Windows - Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Foundation - Concrete,Driveway - Solid; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13924,3237 N JOSEPHINE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.764_3237_N_JOSEPHINE_ST.qgUctN.jpg,Craftsman,Bungalow,Cross Gable,Brick,1-1/2,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Cottage Window - Rowlock Sill  |  Window 2: Window Type: Fixed; Window Features: Divided Lights - All - Dormer Window  |  Window 3: Window Type: Casement; Window Features: Rowlock Sill  |  Window 4: Window Type: Double/Single Hung; Window Features: Grouped Windows - Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Foundation - Concrete,Driveway - Solid; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13924,3237 N JOSEPHINE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.764_3237_N_JOSEPHINE_ST.a9K7fe.jpg,Craftsman,Bungalow,Cross Gable,Brick,1-1/2,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Cottage Window - Rowlock Sill  |  Window 2: Window Type: Fixed; Window Features: Divided Lights - All - Dormer Window  |  Window 3: Window Type: Casement; Window Features: Rowlock Sill  |  Window 4: Window Type: Double/Single Hung; Window Features: Grouped Windows - Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Foundation - Concrete,Driveway - Solid; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13893,3315 N JOSEPHINE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/5DV.8097_3315_N_JOSEPHINE_ST.Z-P_l5.jpg,Craftsman,Bungalow,Cross Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Fixed; Window Features: Rowlock Sill - Divided Lights - All  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Grouped Windows  |  Window 4: Window Type: Double/Single Hung; Window Features: Paired Windows - Rowlock Sill,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Corbeled; Brick - Patterned; Shingles in Gable - Decorative,Driveway - Solid; Fence - Rear; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
