run,split,field,label,support,predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1
phase3_full_v1,val,wall_features,Foundation - Not Visible,1442,1957,1073,884,369,1579,0.548288,0.744105,0.631362
phase3_full_v1,val,wall_features,Foundation - Concrete,1176,1305,785,520,391,2209,0.601533,0.667517,0.632809
phase3_full_v1,val,wall_features,Brick - Patterned,1165,1886,890,996,275,1744,0.471898,0.763948,0.583415
phase3_full_v1,val,wall_features,Belt Course,995,1784,806,978,189,1932,0.451794,0.81005,0.580065
phase3_full_v1,val,wall_features,Brick - Polychromatic,1007,1830,867,963,140,1935,0.47377,0.860973,0.611209
phase3_full_v1,val,wall_features,Gable Vents,795,1592,621,971,174,2139,0.390075,0.781132,0.520318
phase3_full_v1,val,wall_features,Brick - Corbeled,613,1569,508,1061,105,2231,0.323773,0.828711,0.465628
phase3_full_v1,val,wall_features,Shingles in Gable - Decorative,414,632,349,283,65,3208,0.552215,0.842995,0.667304
phase3_full_v1,val,wall_features,Half-Timbering,394,1027,358,669,36,2842,0.348588,0.908629,0.503871
phase3_full_v1,val,wall_features,Shutters,308,806,155,651,153,2946,0.192308,0.503247,0.278276
phase3_full_v1,val,wall_features,Masonry Bay,344,1084,271,813,73,2748,0.25,0.787791,0.379552
phase3_full_v1,val,wall_features,Foundation - Brick,318,1175,229,946,89,2641,0.194894,0.720126,0.306765
phase3_full_v1,val,wall_features,Awnings,297,594,118,476,179,3132,0.198653,0.397306,0.264871
phase3_full_v1,val,wall_features,Engaged Columns,277,843,210,633,67,2995,0.24911,0.758123,0.375
phase3_full_v1,val,wall_features,Shingles in Gable - Plain,199,778,117,661,82,3045,0.150386,0.58794,0.239509
phase3_full_v1,val,wall_features,Foundation - Stone,170,776,128,648,42,3087,0.164948,0.752941,0.270613
phase3_full_v1,val,wall_features,Quoins,169,412,54,358,115,3378,0.131068,0.319527,0.185886
phase3_full_v1,val,wall_features,Other Wall Details,82,115,13,102,69,3721,0.113043,0.158537,0.13198
phase3_full_v1,val,wall_features,Rowlock Course,86,34,6,28,80,3791,0.176471,0.069767,0.1
phase3_full_v1,val,wall_features,Attached Sign,97,207,72,135,25,3673,0.347826,0.742268,0.473684
phase3_full_v1,val,wall_features,Balcony,53,191,23,168,30,3684,0.120419,0.433962,0.188525
phase3_full_v1,val,landscape_features,Walkway - Concrete,3182,2690,2344,346,838,377,0.871375,0.736644,0.798365
phase3_full_v1,val,landscape_features,Fence - Rear,2973,2449,2088,361,885,571,0.852593,0.702321,0.770195
phase3_full_v1,val,landscape_features,Fence - Left Side,1278,1443,742,701,536,1926,0.514207,0.580595,0.545388
phase3_full_v1,val,landscape_features,Fence - Right Side,1298,1404,732,672,566,1935,0.521368,0.563945,0.541821
phase3_full_v1,val,landscape_features,Driveway - Solid,1015,1612,674,938,341,1952,0.418114,0.664039,0.513133
phase3_full_v1,val,landscape_features,Wall - Retaining,880,2148,627,1521,253,1504,0.291899,0.7125,0.414135
phase3_full_v1,val,landscape_features,Fence - Front,920,1234,594,640,326,2345,0.481361,0.645652,0.551532
phase3_full_v1,val,landscape_features,Denver Roll,995,1947,734,1213,261,1697,0.37699,0.737688,0.49898
phase3_full_v1,val,landscape_features,Built-In Planters,490,1413,242,1171,248,2244,0.171267,0.493878,0.254335
phase3_full_v1,val,landscape_features,Walkway - Stone,291,1126,181,945,110,2669,0.160746,0.621993,0.255469
phase3_full_v1,val,landscape_features,Parking Lot,216,393,169,224,47,3465,0.430025,0.782407,0.555008
phase3_full_v1,val,landscape_features,Stone Public Sidewalk,135,565,75,490,60,3280,0.132743,0.555556,0.214286
phase3_full_v1,val,landscape_features,Fence - Ornamental,121,250,30,220,91,3564,0.12,0.247934,0.161725
phase3_full_v1,val,landscape_features,Driveway - Ribbon,112,12,0,12,112,3781,0.0,0.0,0.0
phase3_full_v1,val,landscape_features,Driveway - Unpaved,74,121,12,109,62,3722,0.099174,0.162162,0.123077
phase3_full_v1,val,landscape_features,Walkway - Brick,87,7,0,7,87,3811,0.0,0.0,0.0
phase3_full_v1,val,landscape_features,Fence - Historic,60,1,1,0,59,3845,1.0,0.016667,0.032787
phase3_full_v1,val,window,Window Type: Double/Single Hung,2839,2657,2364,293,475,773,0.889725,0.832688,0.860262
phase3_full_v1,val,window,Window Type: Fixed,2817,2379,1933,446,884,642,0.812526,0.686191,0.744034
phase3_full_v1,val,window,Window Type: Sliding,2197,1708,1246,462,951,1246,0.729508,0.567137,0.638156
phase3_full_v1,val,window,Window Type: Casement,736,1760,462,1298,274,1871,0.2625,0.627717,0.370192
phase3_full_v1,val,window,Window Type: Unknown Window Type,660,1897,493,1404,167,1841,0.259884,0.74697,0.385608
phase3_full_v1,val,window,Window Type: Hopper/Awning,369,1487,260,1227,109,2309,0.174849,0.704607,0.280172
phase3_full_v1,val,window,Window Features: Rowlock Sill,1880,1852,1532,320,348,1705,0.827214,0.814894,0.821008
phase3_full_v1,val,window,Window Features: None,1850,1509,1038,471,812,1584,0.687873,0.561081,0.618041
phase3_full_v1,val,window,Window Features: Paired Windows,1525,2094,1112,982,413,1398,0.531041,0.72918,0.614534
