run,split,field,label,support,default_threshold,default_predicted_positive,default_precision,default_recall,default_f1,best_threshold,best_predicted_positive,best_precision,best_recall,best_f1,f1_delta
phase3_full_v1,val,wall_features,Foundation - Not Visible,1442,0.5,1957,0.548288,0.744105,0.631362,0.4,2345,0.515139,0.837725,0.637972,0.00661
phase3_full_v1,val,wall_features,Foundation - Concrete,1176,0.5,1305,0.601533,0.667517,0.632809,0.5,1305,0.601533,0.667517,0.632809,0.0
phase3_full_v1,val,wall_features,Brick - Patterned,1165,0.5,1886,0.471898,0.763948,0.583415,0.55,1703,0.495596,0.724464,0.588563,0.005148
phase3_full_v1,val,wall_features,Belt Course,995,0.5,1784,0.451794,0.81005,0.580065,0.5,1784,0.451794,0.81005,0.580065,0.0
phase3_full_v1,val,wall_features,Brick - Polychromatic,1007,0.5,1830,0.47377,0.860973,0.611209,0.65,1431,0.528302,0.750745,0.62018,0.008971
phase3_full_v1,val,wall_features,Gable Vents,795,0.5,1592,0.390075,0.781132,0.520318,0.55,1398,0.408441,0.718239,0.520748,0.000429
phase3_full_v1,val,wall_features,Brick - Corbeled,613,0.5,1569,0.323773,0.828711,0.465628,0.7,1070,0.380374,0.663948,0.48366,0.018032
phase3_full_v1,val,wall_features,Shingles in Gable - Decorative,414,0.5,632,0.552215,0.842995,0.667304,0.8,412,0.708738,0.705314,0.707022,0.039718
phase3_full_v1,val,wall_features,Half-Timbering,394,0.5,1027,0.348588,0.908629,0.503871,0.9,483,0.515528,0.63198,0.567845,0.063974
phase3_full_v1,val,wall_features,Shutters,308,0.5,806,0.192308,0.503247,0.278276,0.55,655,0.210687,0.448052,0.286604,0.008328
phase3_full_v1,val,wall_features,Masonry Bay,344,0.5,1084,0.25,0.787791,0.379552,0.7,579,0.329879,0.555233,0.413868,0.034316
phase3_full_v1,val,wall_features,Foundation - Brick,318,0.5,1175,0.194894,0.720126,0.306765,0.8,521,0.276392,0.45283,0.343266,0.036501
phase3_full_v1,val,wall_features,Awnings,297,0.5,594,0.198653,0.397306,0.264871,0.45,835,0.179641,0.505051,0.265018,0.000147
phase3_full_v1,val,wall_features,Engaged Columns,277,0.5,843,0.24911,0.758123,0.375,0.75,459,0.32244,0.534296,0.402174,0.027174
phase3_full_v1,val,wall_features,Shingles in Gable - Plain,199,0.5,778,0.150386,0.58794,0.239509,0.6,546,0.173993,0.477387,0.255034,0.015525
phase3_full_v1,val,wall_features,Foundation - Stone,170,0.5,776,0.164948,0.752941,0.270613,0.75,439,0.205011,0.529412,0.295567,0.024953
phase3_full_v1,val,wall_features,Quoins,169,0.5,412,0.131068,0.319527,0.185886,0.4,600,0.123333,0.43787,0.192458,0.006571
phase3_full_v1,val,wall_features,Other Wall Details,82,0.5,115,0.113043,0.158537,0.13198,0.45,174,0.114943,0.243902,0.15625,0.02427
phase3_full_v1,val,wall_features,Rowlock Course,86,0.5,34,0.176471,0.069767,0.1,0.4,178,0.101124,0.209302,0.136364,0.036364
phase3_full_v1,val,wall_features,Attached Sign,97,0.5,207,0.347826,0.742268,0.473684,0.75,146,0.445205,0.670103,0.534979,0.061295
