run,split,field,label,support,default_threshold,default_predicted_positive,default_precision,default_recall,default_f1,best_threshold,best_predicted_positive,best_precision,best_recall,best_f1,f1_delta
phase3_v3_constrained,val,wall_features,Foundation - Not Visible,1442,0.5,2030,0.538916,0.758669,0.630184,0.4,2406,0.510806,0.852288,0.638773,0.008589
phase3_v3_constrained,val,wall_features,Foundation - Concrete,1176,0.5,1412,0.577904,0.693878,0.630603,0.45,1589,0.55129,0.744898,0.633635,0.003032
phase3_v3_constrained,val,wall_features,Brick - Patterned,1165,0.5,1674,0.495818,0.712446,0.584713,0.55,1492,0.520777,0.666953,0.58487,0.000157
phase3_v3_constrained,val,wall_features,Belt Course,995,0.5,1781,0.451993,0.809045,0.579971,0.65,1345,0.507807,0.686432,0.583761,0.00379
phase3_v3_constrained,val,wall_features,Brick - Polychromatic,1007,0.5,1594,0.505019,0.799404,0.618993,0.5,1594,0.505019,0.799404,0.618993,0.0
phase3_v3_constrained,val,wall_features,Gable Vents,795,0.5,1816,0.367841,0.840252,0.511681,0.55,1649,0.385688,0.8,0.520458,0.008777
phase3_v3_constrained,val,wall_features,Brick - Corbeled,613,0.5,1504,0.326463,0.800979,0.463864,0.7,987,0.392097,0.631321,0.48375,0.019886
phase3_v3_constrained,val,wall_features,Shingles in Gable - Decorative,414,0.5,738,0.490515,0.874396,0.628472,0.9,379,0.744063,0.681159,0.711223,0.082751
phase3_v3_constrained,val,wall_features,Half-Timbering,394,0.5,992,0.354839,0.893401,0.507937,0.85,569,0.490334,0.708122,0.579439,0.071503
phase3_v3_constrained,val,wall_features,Shutters,308,0.5,871,0.184845,0.522727,0.273113,0.65,439,0.241458,0.344156,0.283802,0.010689
phase3_v3_constrained,val,wall_features,Masonry Bay,344,0.5,1169,0.23781,0.80814,0.367482,0.75,533,0.347092,0.537791,0.421893,0.054411
phase3_v3_constrained,val,wall_features,Foundation - Brick,318,0.5,1095,0.200913,0.691824,0.311394,0.7,669,0.254111,0.534591,0.344478,0.033084
phase3_v3_constrained,val,wall_features,Awnings,297,0.5,617,0.184765,0.383838,0.249453,0.45,836,0.172249,0.484848,0.254192,0.004739
phase3_v3_constrained,val,wall_features,Engaged Columns,277,0.5,938,0.234542,0.794224,0.36214,0.7,633,0.281201,0.642599,0.391209,0.029069
phase3_v3_constrained,val,wall_features,Shingles in Gable - Plain,199,0.5,768,0.157552,0.60804,0.250259,0.65,454,0.189427,0.432161,0.2634,0.013141
phase3_v3_constrained,val,wall_features,Foundation - Stone,170,0.5,810,0.164198,0.782353,0.271429,0.7,545,0.194495,0.623529,0.296503,0.025075
phase3_v3_constrained,val,wall_features,Quoins,169,0.5,378,0.126984,0.284024,0.175503,0.4,505,0.126733,0.378698,0.189911,0.014408
phase3_v3_constrained,val,wall_features,Other Wall Details,82,0.5,71,0.098592,0.085366,0.091503,0.35,319,0.084639,0.329268,0.134663,0.04316
phase3_v3_constrained,val,wall_features,Rowlock Course,86,0.5,14,0.214286,0.034884,0.06,0.35,171,0.087719,0.174419,0.116732,0.056732
phase3_v3_constrained,val,wall_features,Attached Sign,97,0.5,226,0.349558,0.814433,0.489164,0.85,120,0.475,0.587629,0.525346,0.036182
phase3_v3_constrained,val,wall_features,Balcony,53,0.5,166,0.13253,0.415094,0.200913,0.5,166,0.13253,0.415094,0.200913,0.0
phase3_v3_constrained,val,landscape_features,Walkway - Concrete,3182,0.5,2520,0.876984,0.694532,0.775167,0.1,3790,0.826913,0.984915,0.899025,0.123858
phase3_v3_constrained,val,landscape_features,Fence - Rear,2973,0.5,2584,0.847136,0.736293,0.787835,0.15,3593,0.804898,0.972755,0.880902,0.093066
phase3_v3_constrained,val,landscape_features,Fence - Left Side,1278,0.5,1350,0.533333,0.56338,0.547945,0.35,2219,0.435331,0.755869,0.552474,0.004528
phase3_v3_constrained,val,landscape_features,Fence - Right Side,1298,0.5,1372,0.531341,0.561633,0.546067,0.35,2311,0.436608,0.77735,0.559158,0.01309
phase3_v3_constrained,val,landscape_features,Driveway - Solid,1015,0.5,1877,0.393713,0.728079,0.511065,0.5,1877,0.393713,0.728079,0.511065,0.0
phase3_v3_constrained,val,landscape_features,Wall - Retaining,880,0.5,2076,0.289499,0.682955,0.406631,0.45,2430,0.278601,0.769318,0.409063,0.002433
phase3_v3_constrained,val,landscape_features,Fence - Front,920,0.5,1231,0.490658,0.656522,0.561599,0.5,1231,0.490658,0.656522,0.561599,0.0
phase3_v3_constrained,val,landscape_features,Denver Roll,995,0.5,1839,0.382817,0.707538,0.496824,0.5,1839,0.382817,0.707538,0.496824,0.0
phase3_v3_constrained,val,landscape_features,Built-In Planters,490,0.5,1599,0.167605,0.546939,0.256582,0.5,1599,0.167605,0.546939,0.256582,0.0
phase3_v3_constrained,val,landscape_features,Walkway - Stone,291,0.5,1063,0.167451,0.611684,0.262925,0.55,889,0.177728,0.542955,0.267797,0.004872
phase3_v3_constrained,val,landscape_features,Parking Lot,216,0.5,451,0.388027,0.810185,0.524738,0.85,230,0.617391,0.657407,0.636771,0.112034
phase3_v3_constrained,val,landscape_features,Stone Public Sidewalk,135,0.5,522,0.137931,0.533333,0.219178,0.75,186,0.22043,0.303704,0.255452,0.036274
phase3_v3_constrained,val,landscape_features,Fence - Ornamental,121,0.5,259,0.111969,0.239669,0.152632,0.55,167,0.149701,0.206612,0.173611,0.02098
phase3_v3_constrained,val,landscape_features,Driveway - Ribbon,112,0.5,39,0.025641,0.008929,0.013245,0.35,279,0.071685,0.178571,0.102302,0.089057
phase3_v3_constrained,val,landscape_features,Driveway - Unpaved,74,0.5,139,0.079137,0.148649,0.103286,0.4,330,0.078788,0.351351,0.128713,0.025426
phase3_v3_constrained,val,landscape_features,Walkway - Brick,87,0.5,5,0.0,0.0,0.0,0.1,2056,0.024805,0.586207,0.047597,0.047597
phase3_v3_constrained,val,landscape_features,Fence - Historic,60,0.5,0,0.0,0.0,0.0,0.25,82,0.036585,0.05,0.042254,0.042254
phase3_v3_constrained,val,window,Window Type: Double/Single Hung,2839,0.5,2696,0.885015,0.840437,0.86215,0.25,3173,0.838008,0.936597,0.884564,0.022414
phase3_v3_constrained,val,window,Window Type: Fixed,2817,0.5,2182,0.824015,0.638268,0.719344,0.1,3885,0.722523,0.99645,0.83766,0.118317
phase3_v3_constrained,val,window,Window Type: Sliding,2197,0.5,1787,0.724119,0.588985,0.649598,0.3,3166,0.620973,0.894857,0.733172,0.083573
