run,split,field,label,support,predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1
phase3_v4_protected_adaptation,val,wall_features,Foundation - Not Visible,1442,1883,1043,840,399,1623,0.553903,0.723301,0.627368
phase3_v4_protected_adaptation,val,wall_features,Foundation - Concrete,1176,1476,842,634,334,2095,0.570461,0.715986,0.634992
phase3_v4_protected_adaptation,val,wall_features,Brick - Patterned,1165,1641,823,818,342,1922,0.501523,0.706438,0.5866
phase3_v4_protected_adaptation,val,wall_features,Belt Course,995,1785,802,983,193,1927,0.4493,0.80603,0.576978
phase3_v4_protected_adaptation,val,wall_features,Brick - Polychromatic,1007,1634,816,818,191,2080,0.499388,0.810328,0.617948
phase3_v4_protected_adaptation,val,wall_features,Gable Vents,795,1619,629,990,166,2120,0.388511,0.791195,0.521127
phase3_v4_protected_adaptation,val,wall_features,Brick - Corbeled,613,1498,491,1007,122,2285,0.32777,0.800979,0.465182
phase3_v4_protected_adaptation,val,wall_features,Shingles in Gable - Decorative,414,663,354,309,60,3182,0.533937,0.855072,0.657382
phase3_v4_protected_adaptation,val,wall_features,Half-Timbering,394,931,349,582,45,2929,0.374866,0.885787,0.526792
phase3_v4_protected_adaptation,val,wall_features,Shutters,308,802,154,648,154,2949,0.19202,0.5,0.277477
phase3_v4_protected_adaptation,val,wall_features,Masonry Bay,344,1208,281,927,63,2634,0.232616,0.81686,0.362113
phase3_v4_protected_adaptation,val,wall_features,Foundation - Brick,318,1131,225,906,93,2681,0.198939,0.707547,0.310559
phase3_v4_protected_adaptation,val,wall_features,Awnings,297,578,120,458,177,3150,0.207612,0.40404,0.274286
phase3_v4_protected_adaptation,val,wall_features,Engaged Columns,277,905,218,687,59,2941,0.240884,0.787004,0.368866
phase3_v4_protected_adaptation,val,wall_features,Shingles in Gable - Plain,199,672,109,563,90,3143,0.162202,0.547739,0.250287
phase3_v4_protected_adaptation,val,wall_features,Foundation - Stone,170,817,139,678,31,3057,0.170135,0.817647,0.281662
phase3_v4_protected_adaptation,val,wall_features,Quoins,169,385,55,330,114,3406,0.142857,0.325444,0.198556
phase3_v4_protected_adaptation,val,wall_features,Other Wall Details,82,133,12,121,70,3702,0.090226,0.146341,0.111628
phase3_v4_protected_adaptation,val,wall_features,Rowlock Course,86,20,2,18,84,3801,0.1,0.023256,0.037736
phase3_v4_protected_adaptation,val,wall_features,Attached Sign,97,230,78,152,19,3656,0.33913,0.804124,0.477064
phase3_v4_protected_adaptation,val,wall_features,Balcony,53,120,16,104,37,3748,0.133333,0.301887,0.184971
phase3_v4_protected_adaptation,val,landscape_features,Walkway - Concrete,3182,2645,2305,340,877,383,0.871456,0.724387,0.791145
phase3_v4_protected_adaptation,val,landscape_features,Fence - Rear,2973,2541,2160,381,813,551,0.850059,0.726539,0.78346
phase3_v4_protected_adaptation,val,landscape_features,Fence - Left Side,1278,1311,702,609,576,2018,0.535469,0.549296,0.542294
phase3_v4_protected_adaptation,val,landscape_features,Fence - Right Side,1298,1339,719,620,579,1987,0.536968,0.553929,0.545317
phase3_v4_protected_adaptation,val,landscape_features,Driveway - Solid,1015,1802,722,1080,293,1810,0.400666,0.71133,0.512602
phase3_v4_protected_adaptation,val,landscape_features,Wall - Retaining,880,1920,572,1348,308,1677,0.297917,0.65,0.408571
phase3_v4_protected_adaptation,val,landscape_features,Fence - Front,920,1146,575,571,345,2414,0.501745,0.625,0.556631
phase3_v4_protected_adaptation,val,landscape_features,Denver Roll,995,1761,688,1073,307,1837,0.390687,0.691457,0.499274
phase3_v4_protected_adaptation,val,landscape_features,Built-In Planters,490,1844,290,1554,200,1861,0.157267,0.591837,0.2485
phase3_v4_protected_adaptation,val,landscape_features,Walkway - Stone,291,1035,168,867,123,2747,0.162319,0.57732,0.253394
phase3_v4_protected_adaptation,val,landscape_features,Parking Lot,216,414,171,243,45,3446,0.413043,0.791667,0.542857
phase3_v4_protected_adaptation,val,landscape_features,Stone Public Sidewalk,135,634,77,557,58,3213,0.121451,0.57037,0.20026
phase3_v4_protected_adaptation,val,landscape_features,Fence - Ornamental,121,298,35,263,86,3521,0.11745,0.289256,0.167064
phase3_v4_protected_adaptation,val,landscape_features,Driveway - Ribbon,112,37,1,36,111,3757,0.027027,0.008929,0.013423
phase3_v4_protected_adaptation,val,landscape_features,Driveway - Unpaved,74,143,12,131,62,3700,0.083916,0.162162,0.110599
phase3_v4_protected_adaptation,val,landscape_features,Walkway - Brick,87,5,0,5,87,3813,0.0,0.0,0.0
phase3_v4_protected_adaptation,val,landscape_features,Fence - Historic,60,0,0,0,60,3845,0.0,0.0,0.0
