run,split,field,label,support,default_threshold,default_predicted_positive,default_precision,default_recall,default_f1,best_threshold,best_predicted_positive,best_precision,best_recall,best_f1,f1_delta
phase3_v4_protected_adaptation,val,wall_features,Foundation - Not Visible,1442,0.5,1883,0.553903,0.723301,0.627368,0.35,2429,0.510498,0.859917,0.640661,0.013293
phase3_v4_protected_adaptation,val,wall_features,Foundation - Concrete,1176,0.5,1476,0.570461,0.715986,0.634992,0.55,1325,0.600755,0.676871,0.636545,0.001553
phase3_v4_protected_adaptation,val,wall_features,Brick - Patterned,1165,0.5,1641,0.501523,0.706438,0.5866,0.55,1463,0.5311,0.666953,0.591324,0.004724
phase3_v4_protected_adaptation,val,wall_features,Belt Course,995,0.5,1785,0.4493,0.80603,0.576978,0.6,1535,0.483388,0.745729,0.586561,0.009583
phase3_v4_protected_adaptation,val,wall_features,Brick - Polychromatic,1007,0.5,1634,0.499388,0.810328,0.617948,0.6,1403,0.532431,0.741807,0.619917,0.001969
phase3_v4_protected_adaptation,val,wall_features,Gable Vents,795,0.5,1619,0.388511,0.791195,0.521127,0.55,1454,0.403714,0.738365,0.52201,0.000883
phase3_v4_protected_adaptation,val,wall_features,Brick - Corbeled,613,0.5,1498,0.32777,0.800979,0.465182,0.75,869,0.413119,0.585644,0.48448,0.019298
phase3_v4_protected_adaptation,val,wall_features,Shingles in Gable - Decorative,414,0.5,663,0.533937,0.855072,0.657382,0.8,430,0.688372,0.714976,0.701422,0.04404
phase3_v4_protected_adaptation,val,wall_features,Half-Timbering,394,0.5,931,0.374866,0.885787,0.526792,0.8,594,0.476431,0.718274,0.572874,0.046082
phase3_v4_protected_adaptation,val,wall_features,Shutters,308,0.5,802,0.19202,0.5,0.277477,0.6,516,0.226744,0.37987,0.283981,0.006503
phase3_v4_protected_adaptation,val,wall_features,Masonry Bay,344,0.5,1208,0.232616,0.81686,0.362113,0.65,803,0.296389,0.69186,0.414996,0.052882
phase3_v4_protected_adaptation,val,wall_features,Foundation - Brick,318,0.5,1131,0.198939,0.707547,0.310559,0.75,610,0.260656,0.5,0.342672,0.032113
phase3_v4_protected_adaptation,val,wall_features,Awnings,297,0.5,578,0.207612,0.40404,0.274286,0.5,578,0.207612,0.40404,0.274286,0.0
phase3_v4_protected_adaptation,val,wall_features,Engaged Columns,277,0.5,905,0.240884,0.787004,0.368866,0.75,531,0.301318,0.577617,0.39604,0.027173
phase3_v4_protected_adaptation,val,wall_features,Shingles in Gable - Plain,199,0.5,672,0.162202,0.547739,0.250287,0.6,470,0.193617,0.457286,0.272048,0.021761
phase3_v4_protected_adaptation,val,wall_features,Foundation - Stone,170,0.5,817,0.170135,0.817647,0.281662,0.7,559,0.189624,0.623529,0.290809,0.009148
phase3_v4_protected_adaptation,val,wall_features,Quoins,169,0.5,385,0.142857,0.325444,0.198556,0.5,385,0.142857,0.325444,0.198556,0.0
phase3_v4_protected_adaptation,val,wall_features,Other Wall Details,82,0.5,133,0.090226,0.146341,0.111628,0.4,296,0.077703,0.280488,0.121693,0.010065
phase3_v4_protected_adaptation,val,wall_features,Rowlock Course,86,0.5,20,0.1,0.023256,0.037736,0.35,301,0.089701,0.313953,0.139535,0.101799
phase3_v4_protected_adaptation,val,wall_features,Attached Sign,97,0.5,230,0.33913,0.804124,0.477064,0.9,99,0.535354,0.546392,0.540816,0.063752
phase3_v4_protected_adaptation,val,wall_features,Balcony,53,0.5,120,0.133333,0.301887,0.184971,0.5,120,0.133333,0.301887,0.184971,0.0
phase3_v4_protected_adaptation,val,landscape_features,Walkway - Concrete,3182,0.5,2645,0.871456,0.724387,0.791145,0.1,3789,0.826867,0.984601,0.898867,0.107722
phase3_v4_protected_adaptation,val,landscape_features,Fence - Rear,2973,0.5,2541,0.850059,0.726539,0.78346,0.15,3595,0.803894,0.972082,0.880024,0.096564
phase3_v4_protected_adaptation,val,landscape_features,Fence - Left Side,1278,0.5,1311,0.535469,0.549296,0.542294,0.4,1865,0.470777,0.687011,0.558702,0.016408
phase3_v4_protected_adaptation,val,landscape_features,Fence - Right Side,1298,0.5,1339,0.536968,0.553929,0.545317,0.4,1961,0.466599,0.704931,0.561522,0.016205
